Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/98,Fev/98,Mar/98,Abr/98,Mai/98,Jun/98,Jul/98,Ago/98,Set/98,Out/98,Nov/98,Dez/98,Região,Rpga,Total
Salvador (Ondina) - 83229,-13.005278,-38.505833,63.6,55.6,117.2,206,250.9,358.3,306.5,155.4,63.9,111.8,65.3,34.5,Recôncavo,RPGA do Recôncavo Norte,1689.2
Cruz das Almas - 83222,-12.666667,-39.083333,53.2,12.9,87.1,151,63.8,193.2,112.9,134.7,72.3,57.8,74.8,74.7,Recôncavo,RPGA do Rio Paraguaçu,938.9
Alagoinhas - 83249,-12.148333,-38.425556,12.7,59.2,27.2,62.6,123.4,159.7,123.5,100.6,31.4,12.3,3.4,13.7,Recôncavo,RPGA do Recôncavo Norte,712.6
Canavieiras - 83398,-15.666667,-38.95,116.2,44.1,166.4,,131.7,59.1,108.8,95.5,84.3,159.4,253,140.5,Sul,RPGA do Rio Pardo,965.5
Camaçari - 83226,-12.701619,-38.334661,38.7,50.4,28.2,122.3,307.9,320.4,315.3,90.5,95.2,35.4,22.1,36.6,Recôncavo,RPGA do Recôncavo Norte,1404.31
França - Piritiba - Embasa,-11.551308,-40.584438,,0,,,,,,81.8,12.4,3.6,12.6,89.6,Nordeste,RPGA do Rio Paraguaçu,97.8
Senhor do Bonfim - 83088,-10.490649,-40.100044,131.5,50.2,19.3,35.4,17.4,89.8,37.7,79.3,18,2.9,52.4,33.4,Nordeste,RPGA do Rio Itapicuru,481.5
Mascote - 53950000,-15.565561,-39.302756,141.8,41.7,100,30.5,91.9,12.3,59.4,79,79.7,174.2,303.2,86.5,Sul,RPGA do Rio Pardo,810.5
Santo Antônio de Jesus - DERBA,-12.96801,-39.267744,,,,,,,,70,25,13,38,31,Recôncavo,RPGA do Recôncavo Sul,108
Jacobina - 83186,-11.172778,-40.534167,110.7,67.5,2.6,6.5,11.7,25.4,20.4,67,12.1,15,120.1,100.6,Nordeste,RPGA do Rio Itapicuru,338.9
Serrinha - 83190,-11.633333,-38.966667,182.3,32.6,49.6,52.4,40.8,102.4,76.2,65.1,21.8,17.4,20.6,42,Nordeste,RPGA do Recôncavo Norte,640.6
Tanquinho - Embasa,-11.971323,-39.101068,,,,,,,,64.8,19.4,0,0,29.4,Nordeste,RPGA do Rio Paraguaçu,84.2
Jacobina - DERBA,-11.184635,-40.534435,,3,,,,,,63,16.6,2.9,135.5,106.9,Nordeste,RPGA do Rio Itapicuru,85.5
Rafael Jambeiro-EMBASA,-12.484665,-39.401077,,0,,,,,,57.8,21.8,9,0,82.6,Recôncavo,RPGA do Rio Paraguaçu,88.6
Itabuna - DERBA,-14.701377,-39.267752,,26.1,,,,,,52,39.4,80.5,250,69,Sul,RPGA do Leste,198
Senhor do Bonfim - DERBA,-10.467954,-40.184425,,22,,,,,,51.5,10.1,3.5,2.5,,Nordeste,RPGA do Rio Itapicuru,87.1
Capela do Alto Alegre - Embasa,-11.667981,-39.851086,,4.2,,,,,,51,9.2,5,0,59.4,Nordeste,RPGA do Rio Paraguaçu,69.4
Feira de Santana - DERBA,-12.251329,-38.767728,,1.2,,,,,,50.9,37.4,5.6,14.1,41,Recôncavo,RPGA do Recôncavo Norte,95.1
Anguera - Embasa,-12.167993,-39.251074,,,,,,,,48.7,8.6,0,54,27,Recôncavo,RPGA do Rio Paraguaçu,57.31
Cipó - 83192,-11.083333,-38.516667,30.5,27.6,29,31.9,44.2,60.5,60.7,48.6,14.7,10.2,89.8,19,Nordeste,RPGA do Rio Itapicuru,357.9
Santo Amaro - DERBA,-12.534669,-38.701059,,2,,,,,,46,18,0,55,33,Recôncavo,RPGA do Recôncavo Norte,66
Ituruçu (Jaguaquara) - 83295,-13.527828,-40.119752,99.2,,,32.1,9.2,67.5,28.2,43.2,38.6,70.6,153.7,113.4,Sudoeste,RPGA do Recôncavo Sul,388.6
Ipecaetá - Embasa,-12.301329,-39.301074,,0,,,,,,40.6,20.3,14.2,0,24.8,Recôncavo,RPGA do Rio Paraguaçu,75.11
Argoim - Embasa,-12.551332,-39.551083,,0,,,,,,37.8,30.9,22,40.4,78.4,Recôncavo,RPGA do Rio Paraguaçu,90.7
Riachão do Jacuípe_EMBASA,-11.801317,-39.367741,,0,,,,,,34.8,21.7,5.7,0,76.8,Nordeste,RPGA do Rio Paraguaçu,62.2
Santa Quitéria - Itaberaba - Embasa,-12.351326,-40.031095,,0,,,,,,34.8,8.6,0,0,61.8,Nordeste,RPGA do Rio Paraguaçu,43.4
Gavião - Embasa,-11.467977,-39.76775,,0,,,,,,34.6,12.4,0,85,38.2,Nordeste,RPGA do Rio Paraguaçu,47
Teixeira de Freitas - DERBA,-17.5681,-39.234434,,97.4,,,,,,34.3,83.8,93.3,424.6,298.9,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",308.8
Morro do Chapéu - 83184,-11.216667,-41.216667,69.5,27.6,12,8.7,7.4,25.8,28.2,32.9,10,22.6,101.4,136.7,Chapada Diamantina,RPGA do Rio Salitre,244.7
Monte Santo - 83090,-10.4425,-39.331111,61.2,30.6,6.2,19.4,26.8,54.7,43.7,31.5,15.1,10.9,49.8,103.4,Nordeste,RPGA do Rio Itapicuru,300.1
Mairi - Embasa,-11.701314,-40.151095,,0,,,,,,30.2,8.9,0.5,0,57.6,Chapada Diamantina,RPGA do Rio Paraguaçu,39.6
Guaratinga - 83446,-16.58,-39.78,,22.7,193.6,40.6,42.2,20.4,22.1,29.4,38.4,106.2,,120.3,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",515.6
Ponte do Rio Branco - Embasa,-12.284663,-39.001068,,0,,,,,,28.2,12.3,6.6,0,68.8,Recôncavo,RPGA do Rio Paraguaçu,47.1
Morro do Chapéu - DERBA,-11.517972,-41.151119,,26.5,,,,,,24,9.2,0,0,159,Chapada Diamantina,RPGA do Rio Paraguaçu,59.7
Santo Estêvão - Embasa,-12.451332,-39.267741,,0,,,,,,23.6,25.9,13,0,99.6,Recôncavo,RPGA do Rio Paraguaçu,62.5
Maiquinique (CEPLAC) - 368,-15.534722,-40.251116,57.3,30,48.4,19,43.3,8,29,23,24.2,86.5,238.4,127,Sudoeste,RPGA do Rio Pardo,368.7
Lajedinho-EMBASA,-12.351323,-40.851116,,0,,,,,,22.2,2.8,19,87.8,102.6,Chapada Diamantina,RPGA do Rio Paraguaçu,44
Cipó - DERBA,-11.167975,-38.517717,,34,,,,,,21.7,2,0,37.5,5.2,Nordeste,RPGA do Rio Itapicuru,57.7
Itaberaba - 83244,-12.516667,-40.283333,84.8,46.5,14.7,13.3,21.8,38.1,20.1,21,12.1,24.7,47.3,41.1,Chapada Diamantina,RPGA do Rio Paraguaçu,297.1
Lençóis - 83242,-12.5575,-41.388889,246.9,,7.4,10.2,19.8,33.6,34.4,20.6,5.7,28.8,231.3,,Chapada Diamantina,RPGA do Rio Paraguaçu,407.41
Paulo Afonso - 82986,-9.379325,-38.227424,38.1,1.7,,3.4,3.2,44.3,51.4,20.4,9.2,0.4,0,20.6,Nordeste,RPGA dos Rios Macururé e Curaçá,172.1
Jequié-DERBA,-13.851356,-40.067768,,17.5,,,,,,19.9,0,0,0,134.1,Sudoeste,RPGA do Rio de Contas,37.4
Itaberaba - DERBA,-12.551329,-40.301101,,,,,,,,19,0,24.3,0,47.3,Chapada Diamantina,RPGA do Rio Paraguaçu,43.3
Andaraí - Embasa,-12.801332,-41.321128,,,,,,,,16.3,16.4,45,0,97.6,Chapada Diamantina,RPGA do Rio Paraguaçu,77.7
Mucugê - Embasa,-13.001335,-41.371131,,1.6,,,,,,15.5,8.3,29.2,0,103.3,Chapada Diamantina,RPGA do Rio Paraguaçu,54.6
Macajuba-EMBASA,-12.134654,-40.351101,,0,,,,,,15.4,5.2,2.2,0,82.6,Chapada Diamantina,RPGA do Rio Paraguaçu,22.8
Andaraí - 1241008,-12.801332,-41.284461,256.2,105.7,3.7,0.7,12.1,48,13.7,12.8,9.8,15.1,354.9,229.6,Chapada Diamantina,RPGA do Rio Paraguaçu,477.8
Iaçu - Embasa,-12.768002,-40.201101,,0,,,,,,11.5,2.2,13.8,54.2,50.4,Chapada Diamantina,RPGA do Rio Paraguaçu,27.5
Jequié,-13.883579,-40.141382,0,0,1.6,0,29.5,0,0,11,0,30.6,239.5,104.3,Sudoeste,RPGA do Rio de Contas,72.7
Vitória da Conquista - 83344,-14.883333,-40.8,150,27.2,20.8,12,16.2,8.4,6.2,10.8,2.6,6.2,223.2,210.8,Sudoeste,RPGA do Rio Pardo,260.4
Caravelas - 83498,-17.739167,-39.258333,81.5,17.8,108.8,51,231.4,87.8,28.7,8.9,39,106.2,381.4,80.4,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",761.1
Teixeira de Freitas - PJ-CL-01,-17.575555,-39.732777,77,54,99,14,45,35,3,7,35,47,313,125,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",416
Itaetê - Embasa,-12.984669,-40.967788,,0,,,,,,6.4,2.2,4.4,50.4,36.4,Chapada Diamantina,RPGA do Rio Paraguaçu,13.01
Marcionílio Souza-EMBASA,-12.984671,-40.534443,,9.4,,,,,,5.8,0,15.6,0,42,Chapada Diamantina,RPGA do Rio Paraguaçu,30.8
Itaberaba - EMBASA,-12.531329,-40.301101,,0,,,,,,5.8,11.9,16.5,27.6,35.9,Chapada Diamantina,RPGA do Rio Paraguaçu,34.2
Caetité - 83339,-14.066667,-42.483333,94.3,165.3,36.6,4,6.9,1,1.4,5.6,0,9,339.8,121.3,São Francisco,RPGA do Rio de Contas,324.1
Vitória da Conquista - DERBA,-14.951374,-40.884461,,,,,,,,5,0,2.6,129.1,166,Sudoeste,RPGA do Rio Pardo,7.6
Morro do Chapéu - Embasa,-11.534639,-41.134452,,0,,,,,,1.8,1.4,30,0,136.6,Chapada Diamantina,RPGA do Rio Paraguaçu,33.2
Ibiquera - Embasa,-12.634662,-40.934452,,0,,,,,,0.5,0,0,162,30.8,Chapada Diamantina,RPGA do Rio Paraguaçu,0.5
Irecê - 83182,-11.3,-41.866667,111.1,191,13.8,0.8,,,1.5,0.3,0,0.8,254.4,170.2,Norte,RPGA dos Rios Verde e Jacaré,319.31
Correntina - 83286,-13.332222,-44.617222,201.7,142,18.3,0.8,0,0,0,0.2,0,19.5,294.8,164.8,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",382.5
Seabra - DERBA,-12.417987,-41.767806,,0,,,,,,0,0,0,54,55,Chapada Diamantina,RPGA do Rio Paraguaçu,0
Ipirá - Embasa,-12.151323,-39.734419,,0,,,,,,0,16.1,0,41.2,98.8,Nordeste,RPGA do Rio Paraguaçu,16.1
Remanso - 82979,-9.633333,-42.1,235.1,16.2,27.3,0,8.6,0.2,0,0,0,0,124.6,98,Norte,RPGA do Lago de Sobradinho,287.4
Barreiras (Form. Rio Preto) - 46550000,-11.154444,-45.009166,175.5,213.2,74.3,0,15.2,6.2,0,0,0,40.9,174.7,203.3,Oeste,RPGA do Rio Grande,525.3
São Desidério (Fazenda Coqueiro) - 46490000,-12.390474,-44.93344,152.2,186.7,84.6,2.8,21.8,0,0,0,0,52,299.6,222.1,Oeste,RPGA do Rio Grande,500.1
Barreiras (Nova Vida Montante) - 46590000,-11.867963,-45.084552,208.9,282.9,69.6,0,36.5,0,0,0,0,86.7,297.4,226.4,Oeste,RPGA do Rio Grande,684.6
São Desidério (Derocal) - 46455000,-12.412696,-45.121499,141.4,159.8,87.8,9.1,0,2.5,0,0,0,70.1,239.4,187.5,Oeste,RPGA do Rio Grande,470.71
Brumado - DERBA,-14.201356,-41.651143,,11.7,,,,,,0,0,0,64.1,97,Sudoeste,RPGA do Rio de Contas,11.7
Tanhaçu - Santo Antônio (ANA),-14.100801,-41.292245,28.7,24.1,13.5,6.7,16.1,0,9.8,0,0,8,123.4,124.9,Sudoeste,RPGA do Rio de Contas,106.9
Ibotirama - 46150000,-12.181866,-43.224509,102.6,72.3,64.8,0,3.7,0,0,0,0,73.5,281.6,82.9,São Francisco,RPGA dos Rios Paramirim e Santo Onofre,316.9
Santa Maria da Vitória - DERBA,-13.381329,-44.181203,,170.3,,,,,,0,0,3.8,180.2,128.3,São Francisco,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",174.11
Barra - 83179,-11.083333,-43.166667,149.2,108.9,57.3,31.8,2.4,0,0,0,0,19.8,215.5,88.2,São Francisco,RPGA do Rio Grande,369.41
Carinhanha - 83408,-14.283333,-43.766667,84.6,120.3,71.2,2.6,12.7,0,0,0,0,56.2,324.2,372.6,São Francisco,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",347.6
Carinhanha - ANA,-14.305792,-43.769253,92.2,116.4,62,5.1,11.5,0,0,0,0,63.2,217.1,344.2,São Francisco,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",350.41
Santa Rita de Cássia - 83076,-11.016667,-44.516667,208.1,122.3,112.1,1.6,20.4,0,0,0,0,7.3,351,203.5,São Francisco,RPGA do Rio Grande,471.8
Piatã - CO-CL-04,-13.164166,-41.770833,,,,,,,,,,38,198,143,Chapada Diamantina,RPGA do Rio de Contas,38
Souto Soares - PG-CL-04,-12.08538,-41.64815,,,,,,,,,,9,101,109,Chapada Diamantina,RPGA do Rio Paraguaçu,9
Morro do Chapéu - EBDA,-11.551305,-41.151119,0,40,8,,,,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,48
Mundo Novo (Ibiaporã) - PG-CL-01,-12.05379,-40.83722,,,,,,,,,,23,54,79,Chapada Diamantina,RPGA do Rio Paraguaçu,23
Marcionílio Souza - PG-CL-03,-13.00021,-40.537783,,,,,,,,,,28,216,48,Chapada Diamantina,RPGA do Rio Paraguaçu,28
Ipirá - PG-CL-02,-12.14986,-39.76454,,,,,,,,,,13,93,108,Nordeste,RPGA do Rio Paraguaçu,13
Barreiras - 83236,-12.155556,-45.007778,166.6,211.5,73.1,0.7,14.2,6.6,0,,0,43.4,182.5,199.6,Oeste,RPGA do Rio Grande,516.1
Salvador - Itapuã - RN-CL-01,-12.931388,-38.361111,,,,,,,,,13,31,114,50,Recôncavo,RPGA do Recôncavo Norte,44
Jequié - CO-CL-03,-13.873055,-40.071944,,,,,,,,,,,0,7,Sudoeste,RPGA do Rio de Contas,0
Vitória da Conquista - PA-CL-01,-14.886111,-40.800833,,,,,,,,,,,236,136,Sudoeste,RPGA do Rio Pardo,0
Anagé - CO-CL-01,-14.618055,-41.149722,,,,,,,,,,,285,93,Sudoeste,RPGA do Rio de Contas,0
Brumado - CO-CL-02,-14.207222,-41.778055,,,,,,,,,,,166,119,Sudoeste,RPGA do Rio de Contas,0
Eunápolis - FB-CL-01,-16.290555,-39.579722,,,,,,,,,,68,356,128,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",68
Ilhéus (CPLAC) - LE-CL-01,-14.80184,-39.181444,,28,91,4,,,,,,,240,148,Sul,RPGA do Leste,123
