Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/11,Fev/11,Mar/11,Abr/11,Mai/11,Jun/11,Jul/11,Ago/11,Set/11,Out/11,Nov/11,Dez/11,Região,Rpga,Total
Boa Vista do Tupim - EBDA,-12.651332,-40.60111,76.1,0,75.6,27,0,0,0,0,0,5.5,56.4,38.3,Chapada Diamantina,RPGA do Rio Paraguaçu,184.2
Iaçu - EBDA,-12.768002,-40.217768,36.3,0,12.5,54,0,9,0,0,0,4.8,44,26.2,Chapada Diamantina,RPGA do Rio Paraguaçu,116.6
Itaberaba - EBDA,-12.534663,-40.301101,56.2,0,44.5,44.5,0,0,12.4,13.7,0,0,99.2,116.4,Chapada Diamantina,RPGA do Rio Paraguaçu,171.3
Itaetê - EBDA,-12.984669,-40.984455,23.4,0,82.5,51.5,0,0,0,21,0,14,53.8,14.4,Chapada Diamantina,RPGA do Rio Paraguaçu,192.4
Marcionílio Souza - EBDA,-13.001338,-40.534443,30,0,89,20,0,0,5,0,0,10,50,,Chapada Diamantina,RPGA do Rio Paraguaçu,154
Ruy Barbosa - EBDA,-12.284657,-40.501107,80,34,36,65,39,0,20,5,0,27,75,81,Chapada Diamantina,RPGA do Rio Paraguaçu,306
Utinga - EBDA,-12.08465,-41.101122,35,8,42.5,12.5,37.5,0,0,0,0,19.5,54,35.5,Chapada Diamantina,RPGA do Rio Paraguaçu,155
Barra da Estiva - EBDA,-13.63468,-41.334467,36.3,0,329.1,58.6,24.2,11.1,22.6,14.3,165.4,37.6,139.3,58.2,Chapada Diamantina,RPGA do Rio de Contas,699.21
Baixa Grande - EBDA,-11.951317,-40.167762,44,0,92,0,0,0,0,0,0,50,0,,Chapada Diamantina,RPGA do Rio Paraguaçu,186
Mairi - EBDA,-11.717981,-40.151095,54.1,84.3,53,29,26.6,0,0,13.8,0,45.7,48.9,,Chapada Diamantina,RPGA do Rio Paraguaçu,306.5
Morro do Chapéu - EBDA,-11.551305,-41.151119,0,0,0,0,30.3,1.7,0,24.5,0,0,0,,Chapada Diamantina,RPGA do Rio Paraguaçu,56.5
Mundo Novo - EBDA,-11.851314,-40.46777,126.5,15.5,131.5,105,20,27.5,0,0,34.4,69.1,55.2,,Chapada Diamantina,RPGA do Rio Paraguaçu,529.5
Piritiba - EBDA,-11.751314,-40.551104,30,33,115.3,14.1,45,0.3,0,0.5,0,59.8,15.5,,Chapada Diamantina,RPGA do Rio Paraguaçu,298
Barra do Mendes - EBDA,-11.817975,-42.06781,11,40.5,116.8,7,5,0,0,0,0,37,55,8,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,217.3
Cafarnaum - EBDA,-11.684641,-41.484462,9,24.4,101.6,1,0,25,0,0,0,90.5,17,19,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,251.5
Canarana - EBDA,-11.684641,-41.751137,6.2,49.3,93.1,6.4,2,0,0,0,0,52.6,29.3,22.6,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,209.6
Andaraí - EBDA,-12.801332,-41.317795,16,17,422,26.2,0,24,8,0,0,23.6,48,0,Chapada Diamantina,RPGA do Rio Paraguaçu,536.81
Iraquara - EBDA,-12.234651,-41.617801,45,74.4,132.2,24.8,0,0,16.7,0,0,78.5,39.8,57.3,Chapada Diamantina,RPGA do Rio Paraguaçu,371.6
Mucugê - EBDA,-13.001335,-41.367798,59.3,49.9,111.6,142.7,30.2,36.8,24.1,26.8,6,71.1,225.2,135.1,Chapada Diamantina,RPGA do Rio Paraguaçu,558.5
Piatã - EBDA,-13.201338,-41.751143,61.7,44.4,151.8,84.2,14.4,0,0,0,0,130,,96.4,Chapada Diamantina,RPGA do Rio de Contas,486.5
Seabra - EBDA,-12.417987,-41.767806,41,37,77,39,0,0,0,7,0,75,81.7,88.3,Chapada Diamantina,RPGA do Rio Paraguaçu,276
Livramento do Brumado - EBDA,-13.651344,-41.834479,102.5,40.3,84.3,23.3,0,0,0,0,0,40.6,132.7,70.2,Chapada Diamantina,RPGA do Rio de Contas,291.01
Lençóis - A425,-12.557854,-41.388808,117.6,58.4,162.2,92.6,85.4,20.6,20.8,52.2,10.4,50,130.6,102.2,Chapada Diamantina,RPGA do Rio Paraguaçu,670.2
Iacú (Lagoa Bonita) - PG-PR-15,-12.931506,-40.226468,,39.25,90.5,37.5,20.25,24.75,5.75,11,3.25,13,47.75,95.25,Chapada Diamantina,RPGA do Rio Paraguaçu,245.25
Iaçu (João Amaro) - PG-PR-16,-12.800391,-40.363139,,,,,7.25,,,,,10,53.75,,Chapada Diamantina,RPGA do Rio Paraguaçu,17.25
