Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/14,Fev/14,Mar/14,Abr/14,Mai/14,Jun/14,Jul/14,Ago/14,Set/14,Out/14,Nov/14,Dez/14,Região,Rpga,Total
Boa Vista do Tupim - EBDA,-12.651332,-40.60111,8.2,6,0,,,,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,14.2
Iaçu - EBDA,-12.768002,-40.217768,0,26.5,,,,,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,26.5
Itaetê - EBDA,-12.984669,-40.984455,0,,,,,,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,0
Marcionílio Souza - EBDA,-13.001338,-40.534443,0,,,,,,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,0
Ruy Barbosa - EBDA,-12.284657,-40.501107,24,,,,,,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,24
Utinga - EBDA,-12.08465,-41.101122,0,,,,,,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,0
Barra do Mendes - EBDA,-11.817975,-42.06781,0,0,25,26,66,0,0,0,0,,,,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,117
Cafarnaum - EBDA,-11.684641,-41.484462,6.3,0,85,121.5,0,0,0,0,0,,,,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,212.8
Canarana - EBDA,-11.684641,-41.751137,0,8.5,21.3,40.7,0,0,0,0,0,,,,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,70.5
Livramento do Brumado - EBDA,-13.651344,-41.834479,0,0,,,,,,,,,,,Chapada Diamantina,RPGA do Rio de Contas,0
Lençóis - A425,-12.557854,-41.388808,21.8,96,144.4,90.4,53.6,31.6,27.4,16.8,21,82.4,247.4,155.8,Chapada Diamantina,RPGA do Rio Paraguaçu,585.41
Iacú (Lagoa Bonita) - PG-PR-15,-12.931506,-40.226468,10,28,15.25,41.5,42.5,11,22.75,0.25,13.25,2,54.75,146.5,Chapada Diamantina,RPGA do Rio Paraguaçu,186.5
Iaçu (João Amaro) - PG-PR-16,-12.800391,-40.363139,15.25,39.75,87.75,31,11.5,5.75,52,1,15.25,4.5,79.5,212.75,Chapada Diamantina,RPGA do Rio Paraguaçu,263.75
Boa Vista Tupim - PG-PR-17,-12.65622,-40.589813,13.25,26.5,29.5,35.75,12,16.75,34.75,4,8.5,15,99.75,121.5,Chapada Diamantina,RPGA do Rio Paraguaçu,196
Ruy Barbosa - PG-PR-18,-12.285653,-40.513698,,,,,90.25,,,10.25,21.75,9.25,,,Chapada Diamantina,RPGA do Rio Paraguaçu,131.5
Boninal - PG-PR-19,-12.67656,-41.8464,31.75,14.5,,,,,,0,,37.25,,,Chapada Diamantina,RPGA do Rio Paraguaçu,83.5
Piatã (Fazenda Cruz) - PG-PR-20,-12.90705,-41.86708,,,,21.25,2.25,2.25,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,25.75
Iraquara (Afrânio Peixoto) - PG-PR-21,-12.260093,-41.445952,,,,50,,,,27.5,17.5,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,95
Wagner - PG-PR-22,-12.289538,-41.161774,4,43.5,27.25,43.5,57.25,8,21.75,2.5,22.5,56.25,217.5,64,Chapada Diamantina,RPGA do Rio Paraguaçu,286.5
Utinga - PG-PR-23,-12.030089,-41.058714,3,35.5,33.25,135.75,52.5,7.75,43,5.5,3,52.5,243.25,65,Chapada Diamantina,RPGA do Rio Paraguaçu,371.75
Mucugê (Guiné) - PG-PR-24,-12.771772,-41.540679,25.25,25,78.75,67,33,6.25,7,6.25,0.5,15.75,86.5,126,Chapada Diamantina,RPGA do Rio Paraguaçu,264.75
Mucugê (Cascavel) - PG-PR-27,-13.285954,-41.287619,13.5,43,121.25,40.25,2,10.25,16.75,6.25,8.5,37,130.5,115,Chapada Diamantina,RPGA do Rio Paraguaçu,298.75
Barro Alto,-11.769188,-41.909464,0.2,2,32.6,87.8,19.4,2,0,1.4,1.4,,,,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,146.8
Canarana,-11.69541,-41.78921,0,25.2,47.6,48.6,17.4,0.8,0.8,0,0,,,,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,140.41
Barra dos Mendes,-11.805077,-42.05708,0,0.8,16.2,26.8,73.2,0.6,0,2.4,0,,,,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,120
Olho D'Água do Francisco,-12.307034,-42.079028,0.2,6.4,33.4,,,,,,,,,,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,40
América Dourada,-11.464848,-41.442615,0,35.2,74.4,61.6,1.4,0.8,1.6,0,0,,,,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,175.01
Cafarnaum,-11.676688,-41.470143,1.4,4,24.8,61.2,10,1.2,2.6,0.4,0,,,,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,105.61
Piatã - CO-CL-04,-13.164166,-41.770833,32.25,57.25,73,112.25,32.25,32,41,6,2.5,47.5,217.5,160.75,Chapada Diamantina,RPGA do Rio de Contas,436
