Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/04,Fev/04,Mar/04,Abr/04,Mai/04,Jun/04,Jul/04,Ago/04,Set/04,Out/04,Nov/04,Dez/04,Região,Rpga,Total
Salvador - CIA,-12.865789,-38.365219,402.1,94,12.5,347.2,154.9,465,234.8,211.3,58.5,80,237.5,8.5,Recôncavo,RPGA do Recôncavo Norte,2060.3
Mata de São João - EBDA,-12.534671,-38.30105,334.7,87.5,75,156,159.5,239,168,208,73,84,114,1,Recôncavo,RPGA do Recôncavo Norte,1584.7
Salvador - Canabrava,-12.924122,-38.429942,386.5,155.6,96.6,362.1,225.6,458.5,289.5,203.8,34,84.5,237,6,Recôncavo,RPGA do Recôncavo Norte,2296.71
São Sebastião do Passé - EBDA,-12.518004,-38.501056,449,105,59,58.5,165,370.6,108,186,40,39,119.1,0,Recôncavo,RPGA do Recôncavo Norte,1580.1
Salvador - Itapuã - RN-CL-01,-12.931388,-38.361111,344,123.5,51.25,238.5,139.75,275.75,166,167.75,28.25,28.25,239.5,0.25,Recôncavo,RPGA do Recôncavo Norte,1563
Catu - EBDA,-12.351333,-38.384384,340.5,80,52.5,100,95,129.7,190.5,152.5,32.5,15,49,0,Recôncavo,RPGA do Recôncavo Norte,1188.2
Itaparica - EBDA,-12.884677,-38.684395,356.5,107.5,58.5,327.3,282.5,350.2,216.7,150.2,27.5,196.5,,,Recôncavo,RPGA do Recôncavo Sul,2073.4
Santo Amaro - DERBA,-12.534669,-38.701059,266,100,40,163,99,176,139.8,135,8,0,119,0,Recôncavo,RPGA do Recôncavo Norte,1126.8
Salvador (Abaeté) - RN-PR-01,-12.945407,-38.361404,,,51.25,252,132,273,195.5,134,28.5,27.75,239.55,0.25,Recôncavo,RPGA do Recôncavo Norte,1094
Salvador (J. Zoológico) - A401,-13.005515,-38.50576,305.6,168.6,130.4,285.6,164.8,314.6,226.2,132.8,43.8,88.2,144.2,13.2,Recôncavo,RPGA do Recôncavo Norte,1860.6
Salvador (Ondina) - 83229,-13.005278,-38.505833,319.4,165.3,121.9,278.4,159.5,326.3,218.4,129.5,40.5,82,167.6,10.9,Recôncavo,RPGA do Recôncavo Norte,1841.2
Inhambupe - EBDA,-11.784656,-38.351047,440.7,149.5,35.5,60.5,82.5,71,30.5,112.9,30.6,6,59,0,Nordeste,RPGA do Recôncavo Norte,1019.7
Entre Rios - EBDA,-11.951326,-38.084374,439.9,47.3,20.6,79.8,163.8,109,106.2,107,74.7,30,90.5,1,Nordeste,RPGA do Recôncavo Norte,1178.31
Paripiranga - EBDA,-10.684633,-37.851032,359.2,169.6,9.8,18.8,106.8,71.4,149.3,94.8,49,0,23.4,0,Nordeste,RPGA do Rio Vaza-Barris,1028.7
Rio Real - EBDA,-11.48465,-37.934369,291.8,29.1,35,50.6,129,88.6,59.4,94.2,46.4,8,17.8,0,Nordeste,RPGA do Rio Real,832.1
Esplanada - EBDA,-11.784656,-37.951038,449.7,59,35,56.3,121.5,105.1,60,91.3,71.2,22,43.9,0,Nordeste,RPGA do Recôncavo Norte,1071.1
Cícero Dantas - EBDA,-10.584629,-38.384377,423,155,29.7,25.5,195,81,113,84,50.5,0,69.5,0,Nordeste,RPGA do Rio Real,1156.7
Conceição de Jacuípe - EBDA,-12.317998,-38.767728,277.6,49,106,50,140,174,54,79,14,4,0,0,Recôncavo,RPGA do Recôncavo Norte,947.6
Alcobaça - EBDA,-17.520876,-39.196654,128.1,87.4,419.6,176.7,45.2,61.8,83.6,76,29,71.4,222.5,212,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",1178.81
Muritiba - EBDA,-12.618004,-38.984401,310,200,42.5,152.5,157.5,262.5,86.5,72.5,67,77.5,72.5,0,Recôncavo,RPGA do Rio Paraguaçu,1428.5
Cruz das Almas - EBDA,-12.668004,-39.101071,298.9,192.5,60.5,161.5,174.2,196.6,88.8,67.5,11.5,113.5,140.1,0,Recôncavo,RPGA do Rio Paraguaçu,1365.5
Coração de Maria - EBDA,-12.234663,-38.751059,291,90.9,8,30.5,46,99.6,12,66,0,7.5,65,0,Recôncavo,RPGA do Recôncavo Norte,651.5
Conceição da Feira - EBDA,-12.501335,-39.001068,260.5,45,17.5,67.5,137.5,116.5,65.5,65,7.5,65,59.5,5.6,Recôncavo,RPGA do Recôncavo Norte,847.5
Conceição do Almeida - EBDA,-12.768005,-39.16774,339.5,128.5,69,123.5,174.5,160,97.5,64,19.5,111,112.5,,Recôncavo,RPGA do Recôncavo Sul,1287
Alagoinhas - 83249,-12.148333,-38.425556,312.8,41.8,55.2,146.5,94.3,99.3,59.9,62.7,39.9,18.6,41.2,2.8,Recôncavo,RPGA do Recôncavo Norte,931
Aramari - EBDA,-12.08466,-38.501053,297.2,77.7,24.9,54,70.5,104,59,61.5,26,18,73,4,Recôncavo,RPGA do Recôncavo Norte,792.8
Jeremoabo - EBDA,-10.067951,-38.351041,112.5,28.8,0,0,151.6,30.2,19,61.2,8.6,0,10.4,0,Nordeste,RPGA do Rio Vaza-Barris,411.9
Caravelas - 83498,-17.739167,-39.258333,159.7,156.7,359.5,137.5,93.4,163.1,162.6,61.2,5.6,122.2,201.9,,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",1421.5
Heliópolis - EBDA,-10.667965,-38.284375,262.4,143.1,11.1,48.7,131.3,65,45,60.5,23.8,0,22.5,0,Nordeste,RPGA do Rio Real,790.9
Santa Bárbara - EBDA,-11.984657,-38.984398,406,90,70,21,66,130,40,60,0,0,0,0,Nordeste,RPGA do Recôncavo Norte,883
Paulo Afonso - EBDA,-9.401269,-38.217702,270.1,35.8,70.2,0,128.6,22.9,20.1,57.2,9.7,0,0,4,Nordeste,RPGA dos Rios Macururé e Curaçá,614.61
Feira de Santana - EBDA,-12.268274,-38.96801,256.5,139,43,47,44.5,158,28.5,56.5,5,11,151.6,0,Recôncavo,RPGA do Rio Paraguaçu,789
Coaraci,-14.634708,-39.551092,100.4,362.4,88.8,216.4,67.2,53.4,80.7,56,67.6,81,207.7,0,Sul,RPGA do Leste,1173.9
Cruz das Almas - A406,-12.675422,-39.08958,,,56.6,128,118.4,130.4,63.4,55.6,14.2,77.4,,,Recôncavo,RPGA do Rio Paraguaçu,644
Cruz das Almas - 83222,-12.666667,-39.083333,349.8,244.6,31.7,,118.9,131.9,,54.3,11.2,89.3,110.3,0,Recôncavo,RPGA do Rio Paraguaçu,1031.7
Antas - EBDA,-10.401293,-38.334375,339.9,144.2,16.8,0,167.9,71.7,71.9,53.6,42.8,0,5.6,0,Nordeste,RPGA do Rio Vaza-Barris,908.8
Adustina - EBDA,-10.534629,-38.117704,218.2,157.3,3.9,0,102.4,47.1,66.7,52.2,17,0,39.5,0,Nordeste,RPGA do Rio Vaza-Barris,664.81
Serrinha - EBDA,-11.651317,-38.967731,377,15,98,42,83,105,54.5,52,0,0,92,0,Nordeste,RPGA do Recôncavo Norte,826.5
Itapicuru (EBDA Rib. Pombal) - EBDA,-11.317978,-38.217708,495.4,67.5,1.5,11.8,83.6,34,52.5,49.3,22.8,0,60.5,0,Nordeste,RPGA do Rio Itapicuru,818.4
Sátiro Dias - EBDA,-11.58465,-38.584386,365.1,90,18.5,61.5,84.5,69,53,47,20.5,7,89.5,0,Nordeste,RPGA do Recôncavo Norte,816.1
Glória - EBDA,-9.351269,-38.251038,156.8,10.5,45,0,88,5.5,0,47,0,0,0,0,Nordeste,RPGA dos Rios Macururé e Curaçá,352.8
Valente - EBDA,-11.417977,-39.48441,353,10,0,0,70,53,59.5,46.5,0,5,67.9,0,Nordeste,RPGA do Rio Paraguaçu,597
Alagoinhas - EBDA,-12.134662,-38.434384,355.1,55,79,117,73,96,87.3,45,46,12,60,1,Recôncavo,RPGA do Recôncavo Norte,965.4
Ribeira do Pombal - EBDA,-10.834635,-38.534383,300,157,36,28,102,88,68,43,31,0,120,10,Nordeste,RPGA do Rio Itapicuru,853
Sítio do Quinto - EBDA,-10.367959,-38.201038,169.7,148.4,21.7,0,136.8,46.4,46.1,42.8,24.5,0,22.3,0,Nordeste,RPGA do Rio Vaza-Barris,636.4
Olindina_EBDA - EBDA,-11.351311,-38.33438,321,46.3,15.8,3.8,53.4,41.6,34,42.5,12.6,0,88.1,0,Nordeste,RPGA do Rio Itapicuru,571.01
Paulo Afonso - A411,-9.379325,-38.227424,,,,0.8,130.2,55.2,22.2,41.8,8.4,0,,,Nordeste,RPGA dos Rios Macururé e Curaçá,258.6
Santo Antônio de Jesus - EBDA,-12.96801,-39.267744,298.5,116.5,88,107.5,179,205,139.5,41.5,74,116.5,73,40,Recôncavo,RPGA do Recôncavo Sul,1366
Ponte do Rio Branco - Embasa,-12.284663,-39.001068,232.1,102.1,54.1,82.3,36.1,102.7,35.3,40.7,2.2,5.9,100.6,3.4,Recôncavo,RPGA do Rio Paraguaçu,693.51
Feira de Santana - DERBA,-12.251329,-38.767728,243.7,99.9,18.3,0,32.9,93.3,35.8,38.8,4.6,0,72.5,0,Recôncavo,RPGA do Recôncavo Norte,567.3
Feira de Santana - 83221,-12.196111,-38.967222,277.7,95.1,19.3,70.3,46.2,,30.6,37.7,6.8,5.9,93.9,2.6,Recôncavo,RPGA do Recôncavo Norte,589.6
Feira de Santana - Fz.C. Mocó - EBDA,-12.267996,-38.967732,281,0,10,86,46,110,33,37,0,0,68.5,0,Recôncavo,RPGA do Rio Paraguaçu,603
Pedro Alexandre - EBDA,-10.017951,-37.884362,133.2,68.5,0,0,87.5,39.2,27.3,36.2,8.6,0,0,0,Nordeste,RPGA do Rio Vaza-Barris,400.5
Biritinga -EBDA - EBDA,-11.617983,-38.817726,406,10,0,60.5,40,104.5,49.5,36,18,0,79,0,Nordeste,RPGA do Recôncavo Norte,724.5
Nova Soure - EBDA,-11.251311,-38.484383,423,110,21.5,35,124,55,66.5,35.5,13,0,98,0,Nordeste,RPGA do Rio Itapicuru,883.5
Santa Brígida - EBDA,-9.734611,-38.134368,272.4,16.5,50,0,99,3,2,34,0,0,0,0,Nordeste,RPGA do Riacho do Tará,476.9
