Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/12,Fev/12,Mar/12,Abr/12,Mai/12,Jun/12,Jul/12,Ago/12,Set/12,Out/12,Nov/12,Dez/12,Região,Rpga,Total
Boa Vista do Tupim - EBDA,-12.651332,-40.60111,0,0,0,5.7,20.4,0,17.8,4,0,0,40.7,,Chapada Diamantina,RPGA do Rio Paraguaçu,47.9
Iaçu - EBDA,-12.768002,-40.217768,0,18.7,0,3,3,21.5,7.4,5,0,0,84.3,,Chapada Diamantina,RPGA do Rio Paraguaçu,58.6
Itaberaba - EBDA,-12.534663,-40.301101,0,9,0,0,24.5,28.1,21.2,13.3,0,3.3,33.8,,Chapada Diamantina,RPGA do Rio Paraguaçu,99.4
Itaetê - EBDA,-12.984669,-40.984455,0,71.8,0,0,74.7,14.9,4.8,18,0,0,72.3,,Chapada Diamantina,RPGA do Rio Paraguaçu,184.21
Marcionílio Souza - EBDA,-13.001338,-40.534443,0,9,0,12,15,13,22,0,0,0,95,,Chapada Diamantina,RPGA do Rio Paraguaçu,71
Ruy Barbosa - EBDA,-12.284657,-40.501107,18,26,16,9,0,51,18,16,0,0,77,,Chapada Diamantina,RPGA do Rio Paraguaçu,154
Utinga - EBDA,-12.08465,-41.101122,0,17,0,0,35,54,18,7,0,0,61.5,,Chapada Diamantina,RPGA do Rio Paraguaçu,131
Barra da Estiva - EBDA,-13.63468,-41.334467,10.9,58.6,4,2.3,36.2,51.5,45.8,134.3,4.9,9.9,178.7,,Chapada Diamantina,RPGA do Rio de Contas,358.4
Baixa Grande - EBDA,-11.951317,-40.167762,8.75,16.75,2,5.5,16,,0,0,0,0,0.3,,Chapada Diamantina,RPGA do Rio Paraguaçu,49
Mairi - EBDA,-11.717981,-40.151095,12,0,0,0,9,21.7,0,60.6,0,0,25.5,,Chapada Diamantina,RPGA do Rio Paraguaçu,103.31
Morro do Chapéu - EBDA,-11.551305,-41.151119,12,0,0,0,0,0,0,0,0,0,116.5,,Chapada Diamantina,RPGA do Rio Paraguaçu,12
Mundo Novo - EBDA,-11.851314,-40.46777,0,53,0,0,132,0,0,0,0,0,71,,Chapada Diamantina,RPGA do Rio Paraguaçu,185
Barra do Mendes - EBDA,-11.817975,-42.06781,22,37,3,0,12,0,0,0,0,0,130,78,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,74
Cafarnaum - EBDA,-11.684641,-41.484462,57,61,7.9,0,0.5,0,0,0,0,0,92.6,0,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,126.4
Canarana - EBDA,-11.684641,-41.751137,40.3,20.8,0,0,10,0,0,1,0,0,107.4,0,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,72.1
Andaraí - EBDA,-12.801332,-41.317795,0,20,0,0,34,21,7,0,0,0,170,0,Chapada Diamantina,RPGA do Rio Paraguaçu,82
Iraquara - EBDA,-12.234651,-41.617801,6.5,29,0,0,0,15.8,0,0,0,0,,,Chapada Diamantina,RPGA do Rio Paraguaçu,51.3
Mucugê - EBDA,-13.001335,-41.367798,42.2,81.8,15.9,2.8,0,70.7,18.1,48.4,0,0,,,Chapada Diamantina,RPGA do Rio Paraguaçu,279.91
Piatã - EBDA,-13.201338,-41.751143,30.2,23,0,0,0,0,54.4,88.8,0,0,,,Chapada Diamantina,RPGA do Rio de Contas,196.4
Seabra - EBDA,-12.417987,-41.767806,16,27.2,0,11.5,0,20,11,7.5,0,0,,,Chapada Diamantina,RPGA do Rio Paraguaçu,93.2
Livramento do Brumado - EBDA,-13.651344,-41.834479,102.8,47.7,1.9,0,12,0,0,0,0,0,152.9,,Chapada Diamantina,RPGA do Rio de Contas,164.4
Lençóis - A425,-12.557854,-41.388808,16.6,139,5.4,9.8,62.8,59.2,32,42.2,0.4,57.8,118.6,5.2,Chapada Diamantina,RPGA do Rio Paraguaçu,425.2
Iacú (Lagoa Bonita) - PG-PR-15,-12.931506,-40.226468,4.5,18,,1.75,6.75,4.75,11.5,6.25,0.25,7.25,57.25,,Chapada Diamantina,RPGA do Rio Paraguaçu,61
Iaçu (João Amaro) - PG-PR-16,-12.800391,-40.363139,,,,,,,27,30.5,1,36,82.75,4,Chapada Diamantina,RPGA do Rio Paraguaçu,94.5
Boa Vista Tupim - PG-PR-17,-12.65622,-40.589813,,,,7,24.75,6.75,19,14.75,0,1.5,33.5,0,Chapada Diamantina,RPGA do Rio Paraguaçu,73.75
Ruy Barbosa - PG-PR-18,-12.285653,-40.513698,,,,4,5.25,21.75,18,25.25,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,74.25
Boninal - PG-PR-19,-12.67656,-41.8464,31.75,17.25,0,0,22.25,1.75,7.75,1.25,0,0.25,100,,Chapada Diamantina,RPGA do Rio Paraguaçu,82.25
Piatã (Fazenda Cruz) - PG-PR-20,-12.90705,-41.86708,15,12.75,40,0.75,16.5,1.25,3.5,4.5,0,6.5,69.75,8.5,Chapada Diamantina,RPGA do Rio Paraguaçu,100.75
Iraquara (Afrânio Peixoto) - PG-PR-21,-12.260093,-41.445952,,,,0,,,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,0
Wagner - PG-PR-22,-12.289538,-41.161774,,,,6.25,51.25,19.25,13.5,5.5,0,0,,,Chapada Diamantina,RPGA do Rio Paraguaçu,95.75
Mucugê (Guiné) - PG-PR-24,-12.771772,-41.540679,5.5,44.25,2,6,43.75,14.75,10,15.75,0.25,0,65.5,19.25,Chapada Diamantina,RPGA do Rio Paraguaçu,142.25
Iramaia - PG-PR-25,-13.290122,-40.962607,,,,,,,,,,1,74.75,,Chapada Diamantina,RPGA do Rio Paraguaçu,1
Mucugê (Cascavel) - PG-PR-27,-13.285954,-41.287619,9,25.5,8.25,7.25,17.25,11,12.75,28.5,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,119.5
Mulungu do Morro,-11.980363,-41.619012,,,0,0,3.4,5.8,1.6,7.6,0,,100.2,30.6,Chapada Diamantina,RPGA do Rio Paraguaçu,18.4
Barro Alto,-11.769188,-41.909464,,,7,0,,,0.4,,,,,14,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,7.4
Canarana,-11.69541,-41.78921,45,28.4,6.8,0,6.2,1.2,3,1.4,0,0,120.2,4.4,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,92.01
Barra dos Mendes,-11.805077,-42.05708,,,,0,14.8,3,2.4,,,4.8,135.6,78,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,25
Olho D'Água do Francisco,-12.307034,-42.079028,19.2,71.4,1.2,3,29.4,9,16.8,18,0.8,,,,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,168.81
América Dourada,-11.464848,-41.442615,,,,,,,,,,,,18.8,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,0
Cafarnaum,-11.676688,-41.470143,34.6,29.2,,0.2,0.8,,,,,,,4.4,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,64.8
Piatã - CO-CL-04,-13.164166,-41.770833,44,45.5,2,13.5,47,20.75,43.75,75,0.5,3.25,168.5,37.75,Chapada Diamantina,RPGA do Rio de Contas,295.25
Souto Soares - PG-CL-04,-12.08538,-41.64815,,15.25,0,0,,,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,15.25
Palmeiras - EBDA,-12.46799,-41.617801,0,0,0,0,1.5,0,8,0,0,0,81,22.5,Chapada Diamantina,RPGA do Rio Paraguaçu,9.5
Itaberaba - A408,-12.524062,-40.299714,8,22.8,5.8,7.6,19.2,31,24.2,26.2,1.4,5.4,35.8,1.4,Chapada Diamantina,RPGA do Rio Paraguaçu,151.61
Macajuba - A412,-12.131694,-40.354222,5.2,58.2,11.8,8.2,25,34.4,34,55.4,5.6,6.8,78.8,5.8,Chapada Diamantina,RPGA do Rio Paraguaçu,244.61
Itaberaba - 83244,-12.516667,-40.283333,5.9,19.8,4.7,7.2,20.3,26.7,24,27.9,1.3,4.8,36.9,1,Chapada Diamantina,RPGA do Rio Paraguaçu,142.61
Lençóis - 83242,-12.5575,-41.388889,15.3,139,4.7,6.6,62.3,58.7,30.7,32.8,0.3,62.3,121.5,4.6,Chapada Diamantina,RPGA do Rio Paraguaçu,412.7
Morro do Chapéu - 83184,-11.216667,-41.216667,36,57.9,12.5,0.1,25,19,20.6,30.1,0.6,1.9,145,24.2,Chapada Diamantina,RPGA do Rio Salitre,203.7
Piatã - A430,-13.155681,-41.774125,47,87.2,2.2,26.6,60.4,38.2,73,117.2,3.6,9.6,162.4,44.8,Chapada Diamantina,RPGA do Rio de Contas,465
