Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/16,Fev/16,Mar/16,Abr/16,Mai/16,Jun/16,Jul/16,Ago/16,Set/16,Out/16,Nov/16,Dez/16,Região,Rpga,Total
Itaberaba - A408,-12.524062,-40.299714,304.6,1.8,16.2,13.6,1.6,1.8,12.2,32.2,28.8,40.4,53,35,Chapada Diamantina,RPGA do Rio Paraguaçu,453.21
Macajuba - A412,-12.131694,-40.354222,426,4.6,23.2,31.4,46,23,62.8,46.2,38.6,103,87.6,15,Chapada Diamantina,RPGA do Rio Paraguaçu,804.81
Itaberaba - 83244,-12.516667,-40.283333,578.5,1.5,14.2,26.4,16.8,13.4,26.7,29.9,26.9,37,49.4,34.3,Chapada Diamantina,RPGA do Rio Paraguaçu,771.3
Lençóis - 83242,-12.5575,-41.388889,591.9,0.3,19.5,13.4,8.3,17.2,32.3,121.2,28.1,165.7,75.4,16.3,Chapada Diamantina,RPGA do Rio Paraguaçu,997.9
Morro do Chapéu - 83184,-11.216667,-41.216667,362.8,18.6,1.3,7.5,11.8,24.4,21,30,35,33.2,57.9,37,Chapada Diamantina,RPGA do Rio Salitre,545.61
Piatã - A430,-13.155681,-41.774125,,0.2,1.4,2.4,2,3.8,5,3.6,2.6,4.4,12.4,9,Chapada Diamantina,RPGA do Rio de Contas,25.41
Lençóis - A425,-12.557854,-41.388808,591.6,0,22.8,14.2,9,20.2,35,124.2,30.4,165.6,,,Chapada Diamantina,RPGA do Rio Paraguaçu,1013.01
Itaetê,-12.991944,-40.960833,446.2,0.6,11,9.6,0.6,17.4,16.8,17.8,12.8,19.8,21.4,10.6,Chapada Diamantina,RPGA do Rio Paraguaçu,552.6
Iacú (Lagoa Bonita) - PG-PR-15,-12.931506,-40.226468,347.5,24.75,35,89.5,146.25,105,70.75,9,10.5,16.25,35.25,10.5,Chapada Diamantina,RPGA do Rio Paraguaçu,854.5
Iaçu (João Amaro) - PG-PR-16,-12.800391,-40.363139,269,5.25,,,,,,,4.5,11.5,19.5,75.5,Chapada Diamantina,RPGA do Rio Paraguaçu,290.25
Boa Vista Tupim - PG-PR-17,-12.65622,-40.589813,356,0,2.5,7.25,5,3,19,22.5,4.75,20.5,38.5,15.5,Chapada Diamantina,RPGA do Rio Paraguaçu,440.5
Ruy Barbosa - PG-PR-18,-12.285653,-40.513698,,,,8.25,14.75,5,,,27.25,46.25,63,14.75,Chapada Diamantina,RPGA do Rio Paraguaçu,101.5
