Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/18,Fev/18,Mar/18,Abr/18,Mai/18,Jun/18,Jul/18,Ago/18,Set/18,Out/18,Nov/18,Dez/18,Região,Rpga,Total
Itaberaba - A408,-12.524062,-40.299714,102,46.2,50.2,35.2,33.4,35.4,,23,,3.6,31.8,92.8,Chapada Diamantina,RPGA do Rio Paraguaçu,329
Macajuba - A412,-12.131694,-40.354222,80.6,74,106.2,0.6,,0,,33.8,,3.2,26,32.6,Chapada Diamantina,RPGA do Rio Paraguaçu,298.41
Itaberaba - 83244,-12.516667,-40.283333,110.7,46.7,48.3,26.6,28.1,29.9,12.3,23,5.5,2.8,31.8,107.8,Chapada Diamantina,RPGA do Rio Paraguaçu,333.9
Lençóis - 83242,-12.5575,-41.388889,60.9,126,229.8,73.5,68.6,142.2,24.6,18.6,13.6,150.4,102.8,195,Chapada Diamantina,RPGA do Rio Paraguaçu,908.2
Morro do Chapéu - 83184,-11.216667,-41.216667,44.8,191.3,114.7,24.9,28.9,50.7,,9.3,15.7,13.8,20.7,93,Chapada Diamantina,RPGA do Rio Salitre,494.1
Piatã - A430,-13.155681,-41.774125,90.8,135,163.8,115.4,90.4,46.6,,14,,36.8,127,275.4,Chapada Diamantina,RPGA do Rio de Contas,692.8
Boa Vista do Tupim - 290380501U,-12.655919,-40.627136,,,,,,,10.8,10.2,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,21
Livramento de Nossa Senhora - 291950401U,-13.682872,-41.841236,,,,,,11.4,2.2,0.2,0,92,64.6,226.4,Chapada Diamantina,RPGA do Rio de Contas,105.8
Iaçu - 51280000,-12.7622,-40.2136,,,,,,,,,,,24.6,62.2,Chapada Diamantina,RPGA do Rio Paraguaçu,0
Lençóis - A425,-12.557854,-41.388808,66,125.6,227.2,77,68,138.8,,18.4,,147.2,106.4,189.4,Chapada Diamantina,RPGA do Rio Paraguaçu,868.2
Itaetê,-12.991944,-40.960833,,,,,,,,,,12.4,46.2,148.2,Chapada Diamantina,RPGA do Rio Paraguaçu,12.4
Boa Vista Tupim - PG-PR-17,-12.65622,-40.589813,43,,,,,,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,43
Ruy Barbosa - PG-PR-18,-12.285653,-40.513698,,,,,,,,,,11.6,24.8,,Chapada Diamantina,RPGA do Rio Paraguaçu,11.6
Iraquara (Afrânio Peixoto) - PG-PR-21,-12.260093,-41.445952,,,,,,92.5,43,43.2,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,178.7
Wagner - PG-PR-22,-12.289538,-41.161774,45.5,57.25,83,11.25,13.5,,,,,9.8,41.2,,Chapada Diamantina,RPGA do Rio Paraguaçu,220.3
Mucugê (Guiné) - PG-PR-24,-12.771772,-41.540679,51.25,70.75,141.5,31.75,,,,,0,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,295.25
Mucugê (Cascavel) - PG-PR-27,-13.285954,-41.287619,22.75,76.25,39,5,,,,,1.25,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,144.25
Mulungu do Morro,-11.980363,-41.619012,,,,,,10.8,3,7.4,2.8,0.8,33.4,154.8,Chapada Diamantina,RPGA do Rio Paraguaçu,24.81
Rio do Pires - PM-CL-04,-13.11695,-42.28411,,,,,,,,0.1,0,28.2,31,71.6,Chapada Diamantina,RPGA dos Rios Paramirim e Santo Onofre,28.3
Seabra - PG-CL-09,-12.39971,-41.78893,,,,,,,,7.9,0.8,27.8,58.2,130.2,Chapada Diamantina,RPGA do Rio Paraguaçu,36.5
Canarana,-11.69541,-41.78921,,,,,,,,,,11.8,29.6,245.2,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,11.8
Iaçu - PG-CL-05,-12.9114,-40.03177,,,,,,,,14.2,5.6,1,16.8,83.4,Chapada Diamantina,RPGA do Rio Paraguaçu,20.8
Barra dos Mendes,-11.805077,-42.05708,,,,,,0.6,0.4,0,,35.4,41.2,253.2,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,36.4
Olho D'Água do Francisco,-12.307034,-42.079028,,,,,,5.4,1.2,2.2,0.4,21.6,73.8,184.6,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,30.81
Cafarnaum,-11.676688,-41.470143,,,,,,0.8,0.8,1.2,,61,52.8,171.8,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,63.8
