Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/99,Fev/99,Mar/99,Abr/99,Mai/99,Jun/99,Jul/99,Ago/99,Set/99,Out/99,Nov/99,Dez/99,Região,Rpga,Total
Boa Vista do Tupim - EBDA,-12.651332,-40.60111,95,95,,11.9,62.9,71.4,30.5,41.3,71.3,97.3,42,200.2,Chapada Diamantina,RPGA do Rio Paraguaçu,576.6
Iaçu - EBDA,-12.768002,-40.217768,11.2,11.2,46.79,0,2.8,,,25.9,9.6,34,11.1,51.2,Chapada Diamantina,RPGA do Rio Paraguaçu,141.49
Itaberaba - EBDA,-12.534663,-40.301101,68,68,,19.8,66.2,,41.2,42.2,30.2,131.8,22,245.8,Chapada Diamantina,RPGA do Rio Paraguaçu,467.4
Itaetê - EBDA,-12.984669,-40.984455,38,38,,0,13,0,0,0,0,0,155.4,216.5,Chapada Diamantina,RPGA do Rio Paraguaçu,89
Marcionílio Souza - EBDA,-13.001338,-40.534443,17,17,,2.2,16.6,13.6,13.6,14.7,0,0,60,99.2,Chapada Diamantina,RPGA do Rio Paraguaçu,94.7
Ruy Barbosa - EBDA,-12.284657,-40.501107,35,35,,17,70,0,16,67,72.4,177.2,99,253,Chapada Diamantina,RPGA do Rio Paraguaçu,489.6
Utinga - EBDA,-12.08465,-41.101122,21,21,,0,0,0,0,0,6,93,249,80,Chapada Diamantina,RPGA do Rio Paraguaçu,141
Barra da Estiva - EBDA,-13.63468,-41.334467,45,49,107.5,81,92,23,0,40,142,151,221,213,Chapada Diamantina,RPGA do Rio de Contas,730.5
Baixa Grande - EBDA,-11.951317,-40.167762,33,,,22,63.5,47.5,32.5,80.5,61,91,74.5,222,Chapada Diamantina,RPGA do Rio Paraguaçu,431
Mairi - EBDA,-11.717981,-40.151095,17.5,,,15.5,41,49,31,84.5,54.5,124.5,100.5,206.2,Chapada Diamantina,RPGA do Rio Paraguaçu,417.5
Morro do Chapéu - EBDA,-11.551305,-41.151119,1,,,0,21.5,17.5,3,38.5,25,67,81,223,Chapada Diamantina,RPGA do Rio Paraguaçu,173.5
Mundo Novo - EBDA,-11.851314,-40.46777,10,,,34,58.5,74,31,105.5,75,67,26,272,Chapada Diamantina,RPGA do Rio Paraguaçu,455
Piritiba - EBDA,-11.751314,-40.551104,7.5,,,2.5,11,28,27.5,30.5,60,101,101,276,Chapada Diamantina,RPGA do Rio Paraguaçu,268
Barra do Mendes - EBDA,-11.817975,-42.06781,75,75,,0,0,,0,0,9.6,81,182.5,169,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,240.6
Cafarnaum - EBDA,-11.684641,-41.484462,3.5,3.5,,0,0,,0,0,49,51.2,88,120.5,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,107.2
Canarana - EBDA,-11.684641,-41.751137,36.5,36.5,,0,27,,0,0,30.5,89,94.5,209.5,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,219.5
Andaraí - EBDA,-12.801332,-41.317795,25,26,90,16,15,32,0,65,75,40.5,281,415,Chapada Diamantina,RPGA do Rio Paraguaçu,384.5
Iraquara - EBDA,-12.234651,-41.617801,60.5,49,60.8,0.9,41,6,0,20,117,71.4,193.5,225,Chapada Diamantina,RPGA do Rio Paraguaçu,426.6
Mucugê - EBDA,-13.001335,-41.367798,70.4,67,112.8,50.7,81.9,27,13,32.8,123.9,82.3,184.1,413.2,Chapada Diamantina,RPGA do Rio Paraguaçu,661.8
