Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/01,Fev/01,Mar/01,Abr/01,Mai/01,Jun/01,Jul/01,Ago/01,Set/01,Out/01,Nov/01,Dez/01,Região,Rpga,Total
Boa Vista do Tupim - EBDA,-12.651332,-40.60111,19.6,0,70.8,42.4,0,67.6,3.4,30.5,11.3,5,0,129.8,Chapada Diamantina,RPGA do Rio Paraguaçu,250.61
Iaçu - EBDA,-12.768002,-40.217768,23.3,8.5,64.3,2.8,0,63,0,9.6,0,0,0,79,Chapada Diamantina,RPGA do Rio Paraguaçu,171.5
Itaberaba - EBDA,-12.534663,-40.301101,34,0,83.6,13.8,27.2,114.8,44.2,82,20.1,21.2,0,191.6,Chapada Diamantina,RPGA do Rio Paraguaçu,440.9
Itaetê - EBDA,-12.984669,-40.984455,0,0,112,16,52,44,0,26.5,16.3,58,0,195.4,Chapada Diamantina,RPGA do Rio Paraguaçu,324.8
Marcionílio Souza - EBDA,-13.001338,-40.534443,41,0,122.4,11.2,17.7,41,0,27,11,18.8,2.2,155.5,Chapada Diamantina,RPGA do Rio Paraguaçu,290.1
Ruy Barbosa - EBDA,-12.284657,-40.501107,19,0,38.5,22,113,109,59.2,69,30,23.4,0,268,Chapada Diamantina,RPGA do Rio Paraguaçu,483.1
Utinga - EBDA,-12.08465,-41.101122,15,0,59,0,0,34,23,0,0,0,0,49.8,Chapada Diamantina,RPGA do Rio Paraguaçu,131
Barra da Estiva - EBDA,-13.63468,-41.334467,50,21,110,25,,86,28,68,46,143,50,136,Chapada Diamantina,RPGA do Rio de Contas,577
Baixa Grande - EBDA,-11.951317,-40.167762,38,0,135,20,62,79,43.2,43,43,66,0,182,Chapada Diamantina,RPGA do Rio Paraguaçu,529.2
Mairi - EBDA,-11.717981,-40.151095,27,0,88.5,6,18.5,84,56,51,56.5,68,0,172,Chapada Diamantina,RPGA do Rio Paraguaçu,455.5
Morro do Chapéu - EBDA,-11.551305,-41.151119,28.1,0,23.7,0,13.6,56.6,22,47.4,46.2,9,0,92.3,Chapada Diamantina,RPGA do Rio Paraguaçu,246.61
Mundo Novo - EBDA,-11.851314,-40.46777,55,22,138,33,42,112,69.5,109.5,46,30.5,30,200.5,Chapada Diamantina,RPGA do Rio Paraguaçu,657.5
Piritiba - EBDA,-11.751314,-40.551104,10,0,69,20,7.5,35,18.5,28.5,27.5,9,0,122,Chapada Diamantina,RPGA do Rio Paraguaçu,225
Barra do Mendes - EBDA,-11.817975,-42.06781,2,5,90.5,8,20,0,0,0,0,31,31,221,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,156.5
Cafarnaum - EBDA,-11.684641,-41.484462,8,9,123.5,17.5,20,3,7,0,0,30,5,240.5,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,218
Canarana - EBDA,-11.684641,-41.751137,8,0,259,0,0,7,0,0,0,33,24,252,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,307
