Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/00,Fev/00,Mar/00,Abr/00,Mai/00,Jun/00,Jul/00,Ago/00,Set/00,Out/00,Nov/00,Dez/00,Região,Rpga,Total
Camamu - EBDA,-13.951362,-39.117744,125.1,,276.6,,146.2,199.1,198.8,227.3,108.8,59.8,77.4,233.8,Sul,RPGA do Recôncavo Sul,1341.7
Alagoinhas - EBDA,-12.134662,-38.434384,74.5,121,50.5,315.5,107,217,106,183.5,149.5,22.5,191.5,0,Recôncavo,RPGA do Recôncavo Norte,1347
Salvador - Itapuã - RN-CL-01,-12.931388,-38.361111,22,48,131,394.7,213.2,257.8,227.6,173,130.1,10.8,61.5,60.9,Recôncavo,RPGA do Recôncavo Norte,1608.2
Paripiranga - EBDA,-10.684633,-37.851032,40.2,132,51.4,145.4,115.2,210.9,160,166,113.8,4.2,77.9,146.3,Nordeste,RPGA do Rio Vaza-Barris,1139.11
Camaçari - 83226,-12.701619,-38.334661,67.8,214.6,138.2,322.1,218,247.6,183.4,161,219.9,12.6,123.4,61.2,Recôncavo,RPGA do Recôncavo Norte,1785.2
Mata de São João - EBDA,-12.534671,-38.30105,70,126.5,96.5,324.3,236.8,213.2,214.5,161,344.2,14.1,148,0,Recôncavo,RPGA do Recôncavo Norte,1801.1
Conceição da Feira - EBDA,-12.501335,-39.001068,2.5,102.5,60,157.5,268,340,192.5,152,160,10,180.5,167.5,Recôncavo,RPGA do Recôncavo Norte,1445
Alagoinhas - 83249,-12.148333,-38.425556,70.2,94.2,53.2,267,138.4,183.5,81.9,142.8,117.4,17.7,203.2,61.1,Recôncavo,RPGA do Recôncavo Norte,1166.31
Entre Rios - EBDA,-11.951326,-38.084374,81.7,137.7,47.5,287.6,128.3,190,111.8,137.6,197,49.4,90.2,0,Nordeste,RPGA do Recôncavo Norte,1368.6
Salvador (Ondina) - 83229,-13.005278,-38.505833,29.5,85.3,191.9,365.4,248.5,310.5,201.1,136.2,161.6,15.9,74.3,88,Recôncavo,RPGA do Recôncavo Norte,1745.9
Inhambupe - EBDA,-11.784656,-38.351047,172.5,23,0,108.6,116.7,158,79.6,135.1,250.7,0,97.5,0,Nordeste,RPGA do Recôncavo Norte,1044.2
Rio Real - EBDA,-11.48465,-37.934369,81.4,147.4,120,149.3,127,215.8,76,133.8,141.4,30,63,0,Nordeste,RPGA do Rio Real,1222.11
Conceição do Almeida - EBDA,-12.768005,-39.16774,198.1,82,125.5,92,175.5,243,158,127.5,138,25,123.5,180,Recôncavo,RPGA do Recôncavo Sul,1364.6
Esplanada - EBDA,-11.784656,-37.951038,168.5,222.5,59.5,249.6,193.1,157.9,45.8,120.1,163.8,35,47.8,0,Nordeste,RPGA do Recôncavo Norte,1415.8
Itajuípe - EBDA,-14.668043,-39.367753,93,108.5,52.3,139.2,69.2,112.3,150,114.8,150.7,41.4,121.2,180.2,Sul,RPGA do Leste,1031.4
Uruçuca - EBDA,-14.601377,-39.284419,121.1,185.7,227.4,189.7,110.6,118.8,172.4,113.5,159.3,84.9,126.9,92.8,Sul,RPGA do Leste,1483.4
Coaraci,-14.634708,-39.551092,218.9,136.1,214.4,108.7,63.2,53.8,92.1,110.7,116.5,91.6,65.9,167,Sul,RPGA do Leste,1206
Muritiba - EBDA,-12.618004,-38.984401,65,87.5,67.5,197.5,197.5,232.5,181.5,110,115,37.5,114.5,100,Recôncavo,RPGA do Rio Paraguaçu,1291.5
Una - EBDA,-15.301389,-39.084416,105,172.6,249.8,183.4,322.9,119.2,183.6,105.6,152.5,,88.7,277.2,Sul,RPGA do Leste,1594.6
Cícero Dantas - EBDA,-10.584629,-38.384377,55,74.5,60,117.5,55,189,86,104.5,118.5,0,83,109.5,Nordeste,RPGA do Rio Real,860
Mucuri - EBDA,-18.084773,-39.55111,247,122.1,208.5,240,91.5,21.5,148,104.5,250.8,8.5,249,228,Sul,RPGA do Rio Mucuri,1442.4
Olindina_EBDA - EBDA,-11.351311,-38.33438,18.5,86,94,99.5,79,101.5,42,100,100.7,5,70,113.2,Nordeste,RPGA do Rio Itapicuru,726.2
Catu - EBDA,-12.351333,-38.384384,88.5,169.5,,306,213.1,154.1,92.1,99.9,167.1,2.8,103.5,0,Recôncavo,RPGA do Recôncavo Norte,1293.1
Ilhéus - 01 - EBDA,-14.784713,-39.05108,18.8,112.2,223,111.6,15.8,117.2,233.5,99.2,159.6,49.4,119.4,171.2,Sul,RPGA do Leste,1140.31
Itapicuru (EBDA Rib. Pombal) - EBDA,-11.317978,-38.217708,27,154,138.7,130.3,44,94.4,59.1,95.4,107.6,5.1,90.6,80.1,Nordeste,RPGA do Rio Itapicuru,855.6
Ubaitaba - EBDA,-14.318037,-39.31775,110.5,114.7,228.5,192.8,89.5,113.7,103.6,91.2,82.3,41.9,139.1,113,Sul,RPGA do Rio de Contas,1168.7
Sátiro Dias - EBDA,-11.58465,-38.584386,40,50,50,116,185.1,122,21,90,145,0,160,0,Nordeste,RPGA do Recôncavo Norte,819.1
Ilhéus (CPLAC) - LE-CL-01,-14.80184,-39.181444,153.5,146.5,316,201.6,94.4,90.6,163.9,89.3,133.9,78.5,69.1,199.4,Sul,RPGA do Leste,1468.2
Canavieiras - EBDA,-15.684731,-38.95108,73.4,135.9,172.6,272.1,158.5,92,142.9,88.4,62.6,92.8,176.7,227,Sul,RPGA do Rio Pardo,1291.2
Canavieiras - 83398,-15.666667,-38.95,79.1,160.9,189.4,319.2,167,106.6,163.6,88.1,68,93.6,,221.9,Sul,RPGA do Rio Pardo,1435.5
Belmonte - EBDA,-15.868068,-38.90108,127.1,155.7,131.6,229.1,207.1,153,121,88,99.7,93,168,241,Sul,RPGA do Rio Jequitinhonha,1405.3
Ribeira do Pombal - EBDA,-10.834635,-38.534383,80,92.5,49,74,65.2,108,124,86,75,6,184,137,Nordeste,RPGA do Rio Itapicuru,759.7
Antas - EBDA,-10.401293,-38.334375,90,192.5,27.5,135,77.5,150,126,85,60,10,77.5,125,Nordeste,RPGA do Rio Vaza-Barris,953.5
Cruz das Almas - 83222,-12.666667,-39.083333,77.2,64.8,75,181.6,159.9,160.7,124,84.7,93.9,22.9,121.9,131.9,Recôncavo,RPGA do Rio Paraguaçu,1044.7
Cruz das Almas - EBDA,-12.668004,-39.101071,60,64.6,76.4,182,157,174,129.5,82.4,107.1,12.5,154.5,133.2,Recôncavo,RPGA do Rio Paraguaçu,1045.5
Castro Alves - EBDA,-12.751338,-39.434413,103.5,169,46.2,109,105.5,55.5,58.3,79.3,0,0,54,155,Recôncavo,RPGA do Rio Paraguaçu,726.3
Ribeira do Pombal,-10.834635,-38.534383,77.5,93.5,23,80.5,65.2,108,118.5,79,69,15,136,,Nordeste,RPGA do Rio Itapicuru,729.2
Gandu - EBDA,-13.751359,-39.484419,107,,,,,56.6,143.3,77.3,,,95.8,86.5,Recôncavo,RPGA do Recôncavo Sul,384.2
Piatã - CO-CL-04,-13.164166,-41.770833,0,0,12.9,97.9,58.5,39,56.4,74.8,47.5,11,98.3,387.1,Chapada Diamantina,RPGA do Rio de Contas,398
Santo Estêvão - EBDA,-12.434665,-39.251074,69,74.5,51,135.5,115.5,115,80.5,74,,11.5,138.5,81.4,Recôncavo,RPGA do Rio Paraguaçu,726.5
Ibicaraí - EBDA,-14.868046,-39.584428,129.2,135.4,176.3,130.9,61.1,59.9,98.1,73.1,84.7,67.7,139.2,120.3,Sul,RPGA do Leste,1016.41
Cansanção - EBDA,-10.66796,-39.501074,91.7,62,20,49,65,67,16,73,44,0,132,73,Nordeste,RPGA do Rio Itapicuru,487.7
Santo Antônio de Jesus - EBDA,-12.96801,-39.267744,132,0,164.5,,158.5,129,147.5,72.5,,0,75,40,Recôncavo,RPGA do Recôncavo Sul,804
Sítio do Quinto - EBDA,-10.367959,-38.201038,25.5,109.4,5.5,148.3,65.3,110.8,65.7,71.7,67.7,4,88.8,95.6,Nordeste,RPGA do Rio Vaza-Barris,673.91
Alcobaça - EBDA,-17.520876,-39.196654,25.1,124.8,148.2,245.1,99.4,78.1,199,71.1,106.6,81.9,335.6,180.3,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",1179.31
Nova Soure - EBDA,-11.251311,-38.484383,43,141,35,72.5,77,113.5,65.5,71,179.5,5,126.5,115,Nordeste,RPGA do Rio Itapicuru,803
Ponte do Rio Branco - Embasa,-12.284663,-39.001068,,,,,,,,70.6,,,,,Recôncavo,RPGA do Rio Paraguaçu,70.6
Adustina - EBDA,-10.534629,-38.117704,42.3,88.9,13,157.3,88.5,133.7,83,66.4,56.2,0,77.8,91.4,Nordeste,RPGA do Rio Vaza-Barris,729.31
Feira de Santana - 83221,-12.196111,-38.967222,31,54.1,8.5,140,101,96.6,,66.4,71.4,,130.6,119,Recôncavo,RPGA do Recôncavo Norte,569
Serrinha - 83190,-11.633333,-38.966667,60,82.1,41.6,88,96,84.2,37.4,64.8,97.1,15.3,212.3,138.5,Nordeste,RPGA do Recôncavo Norte,666.5
Coaraci - EBDA,-14.634708,-39.551092,213.8,97.9,208,91.7,83.5,53.7,92.1,64.7,116.3,86.5,65.4,170,Sul,RPGA do Leste,1108.21
Cipó - EBDA,-11.101305,-38.517717,69.8,106.7,26,126,63.5,99.5,46,62.5,80.5,3,209,126.5,Nordeste,RPGA do Rio Itapicuru,683.5
Heliópolis - EBDA,-10.667965,-38.284375,61.3,37,4.5,100.3,34.2,121.9,21.9,61.3,41.4,0,44.3,66.1,Nordeste,RPGA do Rio Real,483.8
Camacã,-15.418059,-39.051083,70.3,105.2,211.7,190.7,107.1,72.7,88.3,60.7,109,37.3,205.9,158.6,Sul,RPGA do Leste,1053
Aramari - EBDA,-12.08466,-38.501053,43.9,46.8,31.5,218,134,134.1,69.3,59.5,90.7,0,123.8,0,Recôncavo,RPGA do Recôncavo Norte,827.8
Anguera - Embasa,-12.167993,-39.251074,,,,,,,,59.2,,,,,Recôncavo,RPGA do Rio Paraguaçu,59.2
Itanhém - EBDA,-17.134752,-40.334459,159.3,136.5,311.6,116,51,24,134.6,58.5,163.5,11.5,318.5,234.5,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",1166.5
Mascote - EBDA,-15.568061,-39.301089,88.6,161.3,135.9,106.7,97.2,59,86.7,57.8,,80.8,212.1,136.5,Sul,RPGA do Rio Pardo,874
Caravelas - 83498,-17.739167,-39.258333,132.9,110.7,143.5,257.3,100.1,49.3,176.3,57.6,311.4,281.1,174.1,146.8,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",1620.2
Ribeira do Amparo - EBDA,-11.034638,-38.43438,82,104.5,60.3,125.5,50.5,91.7,43,57,86,7,162.5,131,Nordeste,RPGA do Rio Itapicuru,707.5
Arataca,-15.868067,-39.417762,97.8,89.7,191.7,220.1,98.8,79,108.6,56.5,111.1,78.5,89.1,156.4,Sul,RPGA do Rio Pardo,1131.8
Santa Luzia - EBDA,-15.434725,-39.334423,158.1,144,256.7,176.4,119.5,77.7,114.4,55.9,145.7,58.1,173.2,118.3,Sul,RPGA do Leste,1306.5
