Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/10,Fev/10,Mar/10,Abr/10,Mai/10,Jun/10,Jul/10,Ago/10,Set/10,Out/10,Nov/10,Dez/10,Região,Rpga,Total
Boa Vista do Tupim - EBDA,-12.651332,-40.60111,1,0,,,0,,9,6,5.6,56.6,5.8,54.9,Chapada Diamantina,RPGA do Rio Paraguaçu,78.2
Iaçu - EBDA,-12.768002,-40.217768,16.7,16.7,158.8,48,5,0,40.6,7,8.9,8.3,0,17.8,Chapada Diamantina,RPGA do Rio Paraguaçu,310
Itaberaba - EBDA,-12.534663,-40.301101,80.2,44.5,266,48.1,27.3,0,83.1,11.7,10,49.6,0,27.1,Chapada Diamantina,RPGA do Rio Paraguaçu,620.51
Itaetê - EBDA,-12.984669,-40.984455,31.6,0,238.5,139.5,7,0,26.6,0,4.1,100.9,27,132.2,Chapada Diamantina,RPGA do Rio Paraguaçu,548.2
Marcionílio Souza - EBDA,-13.001338,-40.534443,15,0,110,177,2,,13,6.2,0,30,15,6,Chapada Diamantina,RPGA do Rio Paraguaçu,353.2
Ruy Barbosa - EBDA,-12.284657,-40.501107,48,3,291,111,31,10,81,32,36,63,0,113,Chapada Diamantina,RPGA do Rio Paraguaçu,706
Utinga - EBDA,-12.08465,-41.101122,21,0,165,90,0,0,48,0,0,27.5,40,175,Chapada Diamantina,RPGA do Rio Paraguaçu,351.5
Barra da Estiva - EBDA,-13.63468,-41.334467,9.3,27.2,62.7,61.1,15.4,16.2,90.2,27.7,10.1,64.1,193.5,159.9,Chapada Diamantina,RPGA do Rio de Contas,384
Itaetê,-12.981335,-40.951122,23,20,248,117,7,5,27,3,5,70,31,193,Chapada Diamantina,RPGA do Rio Paraguaçu,525
Baixa Grande - EBDA,-11.951317,-40.167762,217,0,130,77,0,5,0,10,0,0,0,0,Chapada Diamantina,RPGA do Rio Paraguaçu,439
Mairi - EBDA,-11.717981,-40.151095,61,45.4,181.9,61.4,0,17.7,29.5,0,15.2,49.3,0,77,Chapada Diamantina,RPGA do Rio Paraguaçu,461.4
Morro do Chapéu - EBDA,-11.551305,-41.151119,10,0,112,82,0,0,0,0,0,0,0,0,Chapada Diamantina,RPGA do Rio Paraguaçu,204
Mundo Novo - EBDA,-11.851314,-40.46777,107.5,48.5,149.3,200.5,42.5,46,33,47.5,22.5,40,0,43,Chapada Diamantina,RPGA do Rio Paraguaçu,737.3
Piritiba - EBDA,-11.751314,-40.551104,0,0,0,34,0,0,0,0,0,79.7,0,0,Chapada Diamantina,RPGA do Rio Paraguaçu,113.7
Itaberaba - A408,-12.524062,-40.299714,49.4,38.2,296.4,65.8,30,4.2,94.4,23.4,16.8,57.6,5,58.2,Chapada Diamantina,RPGA do Rio Paraguaçu,676.2
Barra do Mendes - EBDA,-11.817975,-42.06781,81.5,56,189,77,0,0,0,0,0,110,22,106,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,513.5
Cafarnaum - EBDA,-11.684641,-41.484462,73.2,37.2,149,119.5,0,0,0,0,0,44.5,19.5,123.5,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,423.4
Canarana - EBDA,-11.684641,-41.751137,54.7,46.3,175.3,97,0,0,0,0,0,61.1,52.4,133.1,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,434.41
Andaraí - EBDA,-12.801332,-41.317795,108,20,131.5,80.5,0,0,0,12.5,23,120,169.5,132,Chapada Diamantina,RPGA do Rio Paraguaçu,495.5
