Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/09,Fev/09,Mar/09,Abr/09,Mai/09,Jun/09,Jul/09,Ago/09,Set/09,Out/09,Nov/09,Dez/09,Região,Rpga,Total
Maraú - A438,-13.90694,-38.97222,50.6,239,50.2,305.2,330.6,175.4,188,269.4,98.2,155.4,76.2,55.8,Sul,RPGA do Recôncavo Sul,1862.01
Paripiranga - EBDA,-10.684633,-37.851032,6.7,18.8,15.5,64.8,432.4,135.7,122.5,189.1,36,149.2,0,26.1,Nordeste,RPGA do Rio Vaza-Barris,1170.7
Santo Amaro - EBDA,-12.551335,-38.701059,36,135,237,0,821.8,63,146.8,186.6,21,68,20,0,Recôncavo,RPGA do Recôncavo Norte,1715.2
Porto Seguro - A427,-16.388977,-39.182389,150,63.8,176.2,332.8,205,199.2,123.8,168.4,103.6,273.6,28.2,7.8,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",1796.4
Caravelas - A405,-17.739413,-39.258617,137.2,15,118.8,77.6,58.2,59.6,63.6,158.4,95.8,253,49,13.2,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",1037.2
Valença - A444,-13.34361,-39.12667,,,,,,,203.6,154.6,100.2,172.8,93.8,49,Recôncavo,RPGA do Recôncavo Sul,631.2
Caravelas - 83498,-17.739167,-39.258333,199,13.1,148.7,162.6,51.7,56.7,55.7,153.7,92.7,242.4,45.9,11.9,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",1176.31
Sítio do Quinto - EBDA,-10.367959,-38.201038,0,40.2,0,42,296.6,137.9,107.2,141.6,0,128.3,0,124,Nordeste,RPGA do Rio Vaza-Barris,893.81
Una - A437,-15.280215,-39.09127,152.6,112.2,252,342.4,203.6,120.6,202.8,134.8,125.8,280.2,88.2,16.2,Sul,RPGA do Leste,1927
Itamaraju - EBDA,-17.068089,-39.534438,127.5,31.7,168.5,356,189.8,154.1,66.5,130.5,81.1,215.5,58.8,0,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",1521.2
Conde - A431,-12.03622,-37.68322,30,171.2,36,170.6,897.8,152.4,182.8,126.6,65,32.6,8.8,8.4,Nordeste,RPGA do Rio Itapicuru,1865
Canavieiras - 83398,-15.666667,-38.95,148.1,39.4,234.3,334.2,179.2,229.9,128.4,124.9,49.6,256.9,24,5.5,Sul,RPGA do Rio Pardo,1724.9
Cícero Dantas - EBDA,-10.584629,-38.384377,15,27.5,0,70,184.5,140,127.5,117.5,15,72.5,0,0,Nordeste,RPGA do Rio Real,769.5
Ilhéus (CPLAC) - LE-CL-01,-14.80184,-39.181444,121,89.79,94.5,233,110.5,68,157.25,113.5,61.5,164.25,76.75,31,Sul,RPGA do Leste,1213.29
Salvador (J. Zoológico) - A401,-13.005515,-38.50576,32.4,128.4,26.4,110.2,2.2,66.8,167.2,104.2,59.6,91.2,49.4,7.8,Recôncavo,RPGA do Recôncavo Norte,788.61
Euclides da Cunha - A442,-10.537233,-38.996605,31.4,53.2,0.6,75.8,161.8,81.4,73.6,103.4,12.4,101.8,0,4.2,Nordeste,RPGA do Rio Itapicuru,695.4
Ipiaú - A445,-14.171304,-39.692502,,,,,,,117.2,100.2,48,146.6,50.8,31.6,Sudoeste,RPGA do Rio de Contas,412
Heliópolis - EBDA,-10.667965,-38.284375,13.4,60.3,0,61.7,137.5,46.3,48.4,94.4,28.6,104.1,0,86,Nordeste,RPGA do Rio Real,594.7
Salvador (Ondina) - 83229,-13.005278,-38.505833,30.3,122.1,25.6,506.6,549.3,155.1,158.9,93.8,56.1,162.4,48.1,5.8,Recôncavo,RPGA do Recôncavo Norte,1860.2
Ubaíra - EBDA,-13.268014,-39.667756,158,146,32.5,204,19,37,158,93,79.5,130.5,23,61,Recôncavo,RPGA do Recôncavo Sul,1057.5
Mata de São João - ETA - Embasa,-12.394946,-37.934649,26.2,62.5,5.5,255.9,621.4,118.1,139.6,90.6,66.7,37.5,16.9,17.4,Recôncavo,RPGA do Recôncavo Norte,1424
Amargosa - A434,-13.009468,-39.616881,84,105.8,8.2,94.2,125,46.6,76.2,88.4,41.8,166,26.4,53.6,Recôncavo,RPGA do Recôncavo Sul,836.2
Antas - EBDA,-10.401293,-38.334375,22.5,40.5,22.5,82.5,247,126.5,107,87.5,0,98.5,0,66,Nordeste,RPGA do Rio Vaza-Barris,834.5
Salvador - Inema -Monte Serrat,-12.930789,-38.517167,39.2,78.5,37.7,335.4,523.6,123.4,115.8,85.3,28.2,272.1,35.9,7.8,Recôncavo,RPGA do Recôncavo Norte,1639.2
Mucuri - EBDA,-18.084773,-39.55111,143.8,27.2,176.4,168,195.6,65.2,52,81.4,34.2,198,28,96.2,Sul,RPGA do Rio Mucuri,1141.81
Salvador - Ilha Amarela,-12.891344,-38.470778,45.4,108.7,62.3,311.8,777,136.6,122.5,80.6,61.6,256.9,5.5,11.6,Recôncavo,RPGA do Recôncavo Norte,1963.4
Banzaê - EBDA,-10.584629,-38.617717,60.7,38.8,0,27.3,180.1,69.1,121.4,79.8,18.6,92.7,0,32.1,Nordeste,RPGA do Rio Itapicuru,688.5
Cruz das Almas - A406,-12.675422,-39.08958,34.2,48.8,9.8,102.8,253,97.2,133.6,79.2,,106.2,13.6,16,Recôncavo,RPGA do Rio Paraguaçu,864.81
Miguel Calmon - EBDA,-11.417972,-40.584438,15.5,33.8,0,115.4,0,10.1,19.7,79,0,191.5,0,0,Nordeste,RPGA do Rio Itapicuru,465
Muritiba - PG-PR-12,-12.617895,-39.005591,28.5,74.25,17,,,,,78,34.5,113,7.5,5.75,Recôncavo,RPGA do Rio Paraguaçu,345.25
Itapetinga - EBDA,-15.251383,-40.251113,78.6,0,0,92.3,0,11.7,65.6,76.7,,142,2.1,,Sudoeste,RPGA do Rio Pardo,466.9
Camacã (Fz Nanci) - 53880000,-15.581395,-39.521095,185.7,33,40,157,72,30,67,74,47,178,29,9,Sul,RPGA do Rio Pardo,883.7
Cruz das Almas - EBDA,-12.668004,-39.101071,45,45,19.5,104.5,315.5,92,107.3,72.7,50.3,83,9.9,13.7,Recôncavo,RPGA do Rio Paraguaçu,934.8
Adustina - EBDA,-10.534629,-38.117704,9,2.2,0,79.6,233.6,93,62.1,72,5.5,28.6,0,13.9,Nordeste,RPGA do Rio Vaza-Barris,585.6
Araci (Fazenda Laranjeiras III) - IT-PR-09,-11.334248,-38.968638,27.25,48.5,5.5,54.5,55,80.5,103.75,70.75,3,168.5,0.25,51.5,Nordeste,RPGA do Rio Itapicuru,617.25
Alagoinhas - 83249,-12.148333,-38.425556,23.1,78.4,7.6,88.8,415.3,131.2,82.4,70.5,14.9,45.6,7.4,5.1,Recôncavo,RPGA do Recôncavo Norte,957.81
Alagoinhas - EBDA,-12.134662,-38.434384,23,98,3,74,387.7,115,66.5,70.3,8.5,55.5,7.4,5,Recôncavo,RPGA do Recôncavo Norte,901.5
Camaçari (Santa Helena) - 323,-12.56202,-38.1606,18.6,144.9,8.5,200,435.2,243,74.1,69.4,40,77.1,12.7,10.8,Recôncavo,RPGA do Recôncavo Norte,1310.8
Santa Bárbara - EBDA,-11.984657,-38.984398,29,8.8,0,12.6,116.5,48,76,68,68,45,0,0,Nordeste,RPGA do Recôncavo Norte,471.9
Salvador - CIA,-12.865789,-38.365219,49.8,71,39,536,872.6,152.8,164,68,46,246,23,14,Recôncavo,RPGA do Recôncavo Norte,2245.2
Euclides da Cunha (Fazenda Santo Antônio) - IT-PR-06,-10.405331,-39.045582,10.5,23.75,18.75,26.5,84,59.5,51.25,67.5,11,109.75,1.75,9,Nordeste,RPGA do Rio Itapicuru,462.5
Serrinha - A441,-11.664586,-39.022946,34.4,83.8,3.2,54,165.8,79.4,47,66.4,1.3,86.2,0,44.6,Nordeste,RPGA do Rio Paraguaçu,621.5
Ipiaú - EBDA,-14.134698,-39.734428,,83.3,152.5,149.1,68.7,102.2,87.5,66.2,34.4,192.2,,,Sudoeste,RPGA do Rio de Contas,936.1
Teixeira de Freitas - EBDA,-17.534762,-39.734446,177.15,36,96.5,135,28.25,36,73.75,65.75,97.5,305.75,27.7,35,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",1051.65
Teixeira de Freitas - PJ-CL-01,-17.575555,-39.732777,177,36,96.5,135,28.25,36,73.75,65.75,97.5,305.75,27.75,35,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",1051.5
Paulo Afonso - A411,-9.379325,-38.227424,,,,178.6,,,46.6,64.4,2.4,84.8,5.4,41,Nordeste,RPGA dos Rios Macururé e Curaçá,376.8
Belmonte - A447,-16.08487,-39.21726,,,,,,,,63.8,43,151,26.6,28,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",257.8
Ribeira do Amparo (Boa Hora) - IT-PR-13,-10.965,-38.5234,,,,,,,32.25,63.25,17.5,69,1,73.25,Nordeste,RPGA do Rio Itapicuru,182
Santa Brígida - EBDA,-9.734611,-38.134368,0,0,0,24.5,267.9,38.6,25.7,63.1,29,19.5,0,0,Nordeste,RPGA do Riacho do Tará,468.3
Ribeira do Pombal - IT-PR-04,-10.823399,-38.545844,70.75,14.5,0.5,53,95.25,66.25,66.25,62.5,23.25,98.25,0,39.5,Nordeste,RPGA do Rio Itapicuru,550.5
