Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/19,Fev/19,Mar/19,Abr/19,Mai/19,Jun/19,Jul/19,Ago/19,Set/19,Out/19,Nov/19,Dez/19,Região,Rpga,Total
Itaberaba - A408,-12.524062,-40.299714,18.2,19.6,8.6,13,17.4,42.2,41.8,46.8,38,7.4,15.6,16,Chapada Diamantina,RPGA do Rio Paraguaçu,253.01
Macajuba - A412,-12.131694,-40.354222,17.4,28.2,135.8,37.2,40.6,68.6,48.4,74,47.4,7.4,30.4,20.4,Chapada Diamantina,RPGA do Rio Paraguaçu,505
Itaberaba - 83244,-12.516667,-40.283333,28.5,67,,,,,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,95.5
Lençóis - 83242,-12.5575,-41.388889,2,60.3,173.7,,71.5,49.1,,61.1,34.8,91.9,40.5,42.5,Chapada Diamantina,RPGA do Rio Paraguaçu,544.41
Morro do Chapéu - 83184,-11.216667,-41.216667,6.3,164.7,79.5,53.7,18.3,50.8,38.3,34.1,23.6,2.4,18.5,44,Chapada Diamantina,RPGA do Rio Salitre,471.71
Piatã - A430,-13.155681,-41.774125,10.6,86.4,155.6,115.6,28.4,38.8,31.6,50.8,30.2,39,38.6,39,Chapada Diamantina,RPGA do Rio de Contas,587
Livramento de Nossa Senhora - 291950401U,-13.682872,-41.841236,,,243.6,0,0,0,,1,11.8,33.4,23.8,26,Chapada Diamantina,RPGA do Rio de Contas,289.8
Iaçu - 51280000,-12.7622,-40.2136,8.2,64.6,83.6,49.6,37.2,27.6,19.8,35.4,24.4,8.6,16.2,11.2,Chapada Diamantina,RPGA do Rio Paraguaçu,359
Lençóis - A425,-12.557854,-41.388808,1.8,62.4,171.6,243.6,69,51.6,191.2,61.4,35,90.8,44.8,45.4,Chapada Diamantina,RPGA do Rio Paraguaçu,978.4
Itaetê,-12.991944,-40.960833,7.2,44,91.8,0.4,4.4,0,,,0.6,13.6,20.8,0.8,Chapada Diamantina,RPGA do Rio Paraguaçu,162
Iacú (Lagoa Bonita) - PG-PR-15,-12.931506,-40.226468,,37.2,189,110,36.6,14.6,9,16.2,17.6,8.2,23.2,8.6,Chapada Diamantina,RPGA do Rio Paraguaçu,438.41
Iaçu (João Amaro) - PG-PR-16,-12.800391,-40.363139,,43.6,125,72,19.6,20.8,29.2,25.2,30,5.6,33.4,10,Chapada Diamantina,RPGA do Rio Paraguaçu,371
Ruy Barbosa - PG-PR-18,-12.285653,-40.513698,,171.4,74.2,61.4,75.6,35,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,417.6
Mucugê (Guiné) - PG-PR-24,-12.771772,-41.540679,14,,,,22,31.6,49.6,34.2,17.6,58.8,48.4,40.8,Chapada Diamantina,RPGA do Rio Paraguaçu,227.8
Marcionílio Souza (Machado Portela) - PG-PR-26,-13.153732,-40.768155,,21,188.2,47.6,15.4,13.2,12.8,22,8.6,1.2,28.8,20.4,Chapada Diamantina,RPGA do Rio Paraguaçu,330
Mucugê (Cascavel) - PG-PR-27,-13.285954,-41.287619,1,,,,,,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,1
Érico Cardoso (Fazenda Cachoeira) - PM-FD-01,-13.424562,-42.162095,,,,,,,,,,19.2,61.4,44.6,Chapada Diamantina,RPGA dos Rios Paramirim e Santo Onofre,19.2
Mulungu do Morro,-11.980363,-41.619012,4.6,130.2,59.4,95.8,8.8,22.4,16.4,13,4.8,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,355.4
Rio do Pires - PM-CL-04,-13.11695,-42.28411,16.2,111.4,230,66.8,6.8,0,0.4,0,2,1.2,48.8,18.8,Chapada Diamantina,RPGA dos Rios Paramirim e Santo Onofre,434.8
Seabra - PG-CL-09,-12.39971,-41.78893,2.8,73,119.8,56,14.2,5.4,0.2,5,6,0.1,2.5,23.9,Chapada Diamantina,RPGA do Rio Paraguaçu,282.5
Barro Alto,-11.769188,-41.909464,,,,,0,0,0,0,0,0,,,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,0
Canarana,-11.69541,-41.78921,25.4,54.2,132.6,23,0.6,3,2.2,3.2,1.6,14.6,,,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,260.4
Iaçu - PG-CL-05,-12.9114,-40.03177,6.2,45.2,133.8,43.2,8.2,16.2,13.4,21.6,16.4,6.6,18.4,8,Chapada Diamantina,RPGA do Rio Paraguaçu,310.8
Barra dos Mendes,-11.805077,-42.05708,9.2,60.6,,101.4,3.6,8.8,8.6,9.8,4,58,,,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,264
Olho D'Água do Francisco,-12.307034,-42.079028,0.8,80.2,144.2,85.6,2,6.6,12,5.6,4.6,,,,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,341.6
Cafarnaum,-11.676688,-41.470143,26.8,66,,,,,,,,,,,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,92.8
Mundo Novo (Ibiaporã) - PG-CL-01,-12.05379,-40.83722,31.4,73.4,117.2,117.8,29.4,92,66.4,75.7,19.2,15,58.5,41.2,Chapada Diamantina,RPGA do Rio Paraguaçu,637.51
Marcionílio Souza - PG-CL-03,-13.00021,-40.537783,7,36.8,201.4,40.8,48.2,15,19,25,10.9,25.5,40.4,29.2,Chapada Diamantina,RPGA do Rio Paraguaçu,429.6
Mucugê - PG-PR-28,-13.07667,-41.43772,,,,,6.6,6.2,1.2,0,0,1,9,0,Chapada Diamantina,RPGA do Rio Paraguaçu,15
Seabra - PG-PR-01,-12.428149,-41.770409,,91.4,109.8,82.6,12.4,23.2,21.2,19.2,7.4,0.8,10.2,24.4,Chapada Diamantina,RPGA do Rio Paraguaçu,368
Iraquara - PG-PR-02,-12.255093,-41.61679,,,,6.4,,15.8,33.6,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,55.81
Piritiba - PG-PR-07,-11.733137,-40.562306,,123.2,180,74.6,8.6,40,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,426.4
Baixa Grande - PG-PR-08,-11.908701,-40.183683,,46.4,257,23.8,40,84,82.2,85,76.6,5.8,46.8,59.2,Chapada Diamantina,RPGA do Rio Paraguaçu,700.8
Morro do Chapéu (Ventura) - PG-PR-10,-11.650911,-40.951765,,106,119.8,34,8.8,39.6,29,39,20,2.6,13,50.2,Chapada Diamantina,RPGA do Rio Paraguaçu,398.81
Bonito - PG-PR-11,-11.98993,-41.25429,,172,125.6,23.2,44.4,135.2,132.2,131,88.4,16.6,45,,Chapada Diamantina,RPGA do Rio Paraguaçu,868.6
Piatã - CO-CL-04,-13.164166,-41.770833,8.75,80.6,180.9,136.75,19.5,39.9,43,58.25,24.55,29.55,19.5,25,Chapada Diamantina,RPGA do Rio de Contas,621.75
Souto Soares - PG-CL-04,-12.08538,-41.64815,3,95.8,27.7,,,,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,126.5
Itaberaba (PC Ponte Rio Capivari) - 51326200,-12.51429,-39.93422,,,,,,,,,,,8,5.2,Chapada Diamantina,RPGA do Rio Paraguaçu,0
Itaberaba - 291470301C,-12.457663,-40.201519,,,,1.2,0,0,,37.2,21.6,,14,,Chapada Diamantina,RPGA do Rio Paraguaçu,60.01
Utinga - 293280401C,-12.0756,-41.102466,,,108.6,1.8,0,0,,,18.4,,9.6,42.4,Chapada Diamantina,RPGA do Rio Paraguaçu,128.8
Barro Alto - 290323501C,-11.811728,-41.901164,,,92.4,63,0,0,,,1.4,,11.2,9.6,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,156.8
Ibicoara - 291220201C,-13.446389,-41.297933,,,143.8,21.2,,0,,,,,,,Chapada Diamantina,RPGA do Rio de Contas,165
Curaçá - A448,-9.0013,-39.9124,0,0.2,0.2,,,,,,,,,,Nordeste,RPGA dos Rios Macururé e Curaçá,0.4
Chorrochó - 290770701C,-8.98354,-39.11837,,,41.6,12.8,0,0,,,2.2,,8,,Nordeste,RPGA dos Rios Macururé e Curaçá,56.61
Rodelas - 292710101C,-8.85236,-38.76462,,,31,0,0,0,,,2.4,,0.4,0.2,Nordeste,RPGA dos Rios Macururé e Curaçá,33.4
Nova Fátima - 292273001C,-11.696805,-39.656722,,,136.8,1,0,0,,43,30.2,,27.4,,Nordeste,RPGA do Rio Paraguaçu,211
Cipó - 83192,-11.083333,-38.516667,16.4,31.1,147.8,20,31,111.5,92,34.1,25.2,13.1,7.4,4.3,Nordeste,RPGA do Rio Itapicuru,522.2
Jacobina - 83186,-11.172778,-40.534167,4.7,88,107.7,270.5,50.1,43.6,24.1,,34.5,9.5,84.4,12.4,Nordeste,RPGA do Rio Itapicuru,632.7
Jacobina (Ladeira Vermelha) - 291750801A,-11.161707,-40.554213,3.6,79.4,86.8,183.8,38.6,41,,20,19.6,,38.6,28.4,Nordeste,RPGA do Rio Itapicuru,472.81
Monte Santo - 83090,-10.4425,-39.331111,28.5,45.8,65.9,,6.7,91.8,72.1,29.3,12.3,5.9,124.4,17.8,Nordeste,RPGA do Rio Itapicuru,358.3
Jacobina (Feliz Tomaz) - 291750802A,-11.174316,-40.517837,10.8,107.2,134.4,297.2,88.6,64.2,,57.6,49.6,,78.8,17.8,Nordeste,RPGA do Rio Itapicuru,809.61
Serrinha - 83190,-11.633333,-38.966667,,34.1,117.6,41.6,52.8,109.6,,55.7,28.8,9.1,49.4,17.8,Nordeste,RPGA do Recôncavo Norte,449.3
Conde - A431,-12.03622,-37.68322,37,5.8,217,73.2,88.2,305.6,162.6,89.4,97,100.8,43.6,126.8,Nordeste,RPGA do Rio Itapicuru,1176.6
Uauá - A435,-9.833617,-39.495631,4.4,,,45.8,5.2,42.8,30.2,15.6,1.6,0.2,1,5.6,Nordeste,RPGA do Rio Vaza-Barris,145.8
Euclides da Cunha - A442,-10.537233,-38.996605,31,16.4,100.2,15,52.8,146.8,113.8,28.8,13.8,9,3.4,3,Nordeste,RPGA do Rio Itapicuru,527.6
Queimadas - A436,-10.984645,-39.617009,13.2,14.2,93.6,80.8,5,47.4,48.4,32.2,27,4.4,31.4,26,Nordeste,RPGA do Rio Itapicuru,366.2
Jacobina - A440,-11.205136,-40.464979,18.8,13.4,181,224.4,56.6,0,1.2,36,6.2,24.6,44.8,37.2,Nordeste,RPGA do Rio Itapicuru,562.21
Heliópolis - 291185701C,-10.67348,-38.32726,,,78.4,0.2,0,0,,60.6,32.6,,0.4,7,Nordeste,RPGA do Rio Real,171.8
Serrinha - A441,-11.664586,-39.022946,8.2,38.4,181.4,21.6,74.8,111,75.2,70.4,54,1.4,2.8,14.8,Nordeste,RPGA do Rio Paraguaçu,636.4
Coronel João Sá - 290920801C,-10.31827,-37.94009,,,148.8,19.8,0,0,,31,,,,,Nordeste,RPGA do Rio Vaza-Barris,199.61
Sítio do Quinto - 293076601C,-10.32337,-38.662054,,,136.4,5,0,,,,,,,,Nordeste,RPGA do Rio Vaza-Barris,141.4
Nova Soure - 292290401U,-11.30885,-38.53679,,,,,,,,,0,0,0,,Nordeste,RPGA do Rio Itapicuru,0
Senhor do Bonfim  - A428,-10.443072,-40.148244,7.6,85,105.8,52,11.6,69.2,71.8,35,15.6,32.4,6.6,87.2,Nordeste,RPGA do Rio Itapicuru,486
Capim Grosso (Pedras Altas) - 50430000,-11.18288,-40.04725,4.2,40.4,68.6,22,29,25.2,24.4,26.6,11.4,4.8,45.4,15.6,Nordeste,RPGA do Rio Itapicuru,256.6
Ponto Novo - 50380000,-10.845,-40.1128,,75.8,197.2,20.4,15,52.8,44.8,36.8,14.8,12.4,57.2,17,Nordeste,RPGA do Rio Itapicuru,470
Capim Grosso - IT-CL-03,-11.36833,-40.03417,43.6,33.6,85.6,36.2,15.6,33,36.8,34.2,19,10.2,61.2,17.6,Nordeste,RPGA do Rio Itapicuru,347.8
Aporá - IT-CL-01,-11.67082,-38.17485,0,7.4,162.8,44.6,57.6,151.4,140,69.4,57.4,24.4,66.7,32.4,Nordeste,RPGA do Rio Itapicuru,715
Pé de Serra - PG-CL-07,-11.83676,-39.65905,7.2,8,212.4,16.2,18,52.4,35,31.6,27,4.8,26.2,9.6,Nordeste,RPGA do Rio Paraguaçu,412.6
Tucano (Caldas do Jorro) - IT-CL-05,-11.03477,-38.80386,21,2.4,55,1.2,17.4,77.4,52,20.2,8.6,6.8,4.8,7.4,Nordeste,RPGA do Rio Itapicuru,262
Saúde - IT-CL-04,-10.95669,-40.38329,8.6,73.4,88.4,182.6,66.8,33.2,23.8,36.6,24,4.6,73.4,29,Nordeste,RPGA do Rio Itapicuru,542
Várzea do Poço (Lajinha) - IT-CL-06,-11.4964,-40.34474,15.2,54.8,143.8,52.8,22.4,40.2,42.2,47.6,48.6,10.2,44.6,46.8,Nordeste,RPGA do Rio Itapicuru,477.8
Ipirá - PG-CL-02,-12.14986,-39.76454,6.6,6.6,205.8,55,69,53.8,68.6,,,,,,Nordeste,RPGA do Rio Paraguaçu,465.4
Cipó - IT-FR-24,-11.0975,-38.5125,,60.2,166.6,8.4,,,,,,8.8,4.4,2.2,Nordeste,RPGA do Rio Itapicuru,244.01
Serrinha - RN-CL-02,-11.648333,-38.982777,32.75,23.25,207.4,49.25,70,98.8,67.5,49.25,58.25,18.9,39.2,31.4,Nordeste,RPGA do Recôncavo Norte,675.35
Pintadas - PG-PR-05,-11.837311,-39.969786,,50.6,,,13,28.6,,26,,,,,Nordeste,RPGA do Rio Paraguaçu,118.2
Senhor do Bonfim (Centro) - 293010501A,-10.464,-40.19,9.27,126.22,69.96,31.93,4.15,,,,,,,,Nordeste,RPGA do Rio Itapicuru,241.53
Pé de Serra - PG-PR-06,-11.833423,-39.623663,,,134.2,28.8,27.2,,,,,,,,Nordeste,RPGA do Rio Paraguaçu,190.2
Jacobina (Itapeipu) - IT-PR-34,-11.315629,-40.356742,19,75.2,135,169.4,32.4,55,,,48.4,13,63.4,147.6,Nordeste,RPGA do Rio Itapicuru,547.4
Caém - IT-PR-35,-11.093399,-40.437579,,99.4,232.6,225.6,78.6,89.8,57.8,71,49,,61.2,,Nordeste,RPGA do Rio Itapicuru,903.8
Jacobina (Tombador Araújo) - IT-PR-36,-11.168677,-40.670642,,121,142.8,109.4,14.4,37.6,23.8,45.4,23.8,4.8,21.8,53,Nordeste,RPGA do Rio Itapicuru,523
Senhor do Bonfim (Carrapichel) - IT-PR-37,-10.388101,-40.220067,14,109.2,115.6,33.2,13.8,104.4,91,49.4,18,68.8,14.4,51.8,Nordeste,RPGA do Rio Itapicuru,617.4
Santaluz - IT-PR-17,-11.24831,-39.37563,,13.8,53.4,77.4,23.8,63.4,48.2,50.4,48.8,18.2,34,27.4,Nordeste,RPGA do Rio Itapicuru,397.41
Uauá (Fazenda Boa Vista) - IT-PR-18,-10.05893,-39.706158,8.6,,,16.6,,61.2,,22.6,5.4,17.6,,74.2,Nordeste,RPGA do Rio Itapicuru,132
Cansanção (Ambrósio) - IT-PR-19,-10.986458,-39.237813,11.2,14.2,79.2,26.8,5.4,60.2,48.6,28.6,14.2,17,9.6,26.6,Nordeste,RPGA do Rio Itapicuru,305.4
Cansanção - IT-PR-20,-10.702836,-39.543932,,18.6,140,14.8,8.2,64.8,48.4,37.6,9.4,15,37.6,23.2,Nordeste,RPGA do Rio Itapicuru,356.8
Lamarão - 291910801C,-11.8132,-38.87115,,,79,0,0,,,,,,,,Nordeste,RPGA do Recôncavo Norte,79
Monte Santo (Pedra Vermelha) - IT-PR-24,-10.454497,-39.559488,,,,19.6,,74.4,,70.8,20.4,2.8,,28.4,Nordeste,RPGA do Rio Itapicuru,188.01
Ribeira do Amparo - A458,-11.058722,-38.444028,,,,,,,88.2,32.6,23.6,13.4,6.2,9.6,Nordeste,RPGA do Rio Itapicuru,157.8
Quijingue - IT-PR-25,-10.783951,-39.20809,,4,76.4,27,8,44.2,50.8,26.2,9.6,0.4,17.2,5,Nordeste,RPGA do Rio Itapicuru,246.61
Inhambupe - RN-CL-10,-11.69267,-38.31361,,,,,,,,72.7,73,28.2,47.2,9.8,Nordeste,RPGA do Recôncavo Norte,173.9
Ribeira do Pombal (Curral Falso) - IT-PR-01,-10.697843,-38.5714,,4.8,173.4,13.2,46,139.4,130,52,31.4,100.4,13.6,4.8,Nordeste,RPGA do Rio Itapicuru,690.6
Euclides da Cunha (Aribicé) - IT-PR-02,-10.557835,-38.793352,,5.4,49.8,2.8,17.6,80,1.6,0.2,12.2,9.4,119,9,Nordeste,RPGA do Rio Itapicuru,179
Ribeira do Pombal - IT-PR-04,-10.823399,-38.545844,,,170.6,11.2,6,186.2,145.8,63,25.6,40,41.8,2,Nordeste,RPGA do Rio Itapicuru,648.4
Quijingue (BR 116 E. Cunha / Tucano) - IT-PR-05,-10.7105,-38.9227,11.4,9,122.2,8.2,19.8,,64.2,41.8,10.4,8,15.4,1.2,Nordeste,RPGA do Rio Itapicuru,295
Euclides da Cunha (Fazenda Santo Antônio) - IT-PR-06,-10.405331,-39.045582,11.6,34.2,90.2,1.4,32.4,,144.8,58,27.6,4.6,4.4,12,Nordeste,RPGA do Rio Itapicuru,404.81
Crisópolis - IT-PR-08,-11.510923,-38.120832,,3.6,,,,,,,60.8,14.4,,,Nordeste,RPGA do Rio Itapicuru,78.8
Araci (Fazenda Laranjeiras III) - IT-PR-09,-11.334248,-38.968638,,19.8,112.4,25.6,19.6,81.6,,,,,,,Nordeste,RPGA do Rio Itapicuru,259
Nova Soure (Estação Experimental) - IT-PR-10,-11.3083,-38.5361,,116.6,230,60.2,58.6,100.6,87,62,56.2,23.8,5.6,7.2,Nordeste,RPGA do Rio Itapicuru,795
Olindina - IT-PR-11,-11.343693,-38.318892,,,154.2,6.2,29.8,90.2,122.8,52.8,34,,,,Nordeste,RPGA do Rio Itapicuru,490
Itapicuru - IT-PR-12,-11.321193,-38.225003,,,97,8.8,43.8,,,,,,,,Nordeste,RPGA do Rio Itapicuru,149.6
Jeremoabo - A450,-10.0807,-38.3459,3.6,9.8,156,3.4,44,116.4,94,52.8,22.2,4.6,0.6,0.8,Nordeste,RPGA do Rio Vaza-Barris,506.81
Ribeira do Amparo (Boa Hora) - IT-PR-13,-10.965,-38.5234,,8,153,21.4,18.4,141.8,87.6,53.8,24.8,10.2,3.2,1,Nordeste,RPGA do Rio Itapicuru,519.01
Jacobina (Fazenda Pintadas) - IT-FR-15,-11.188681,-40.195071,,,,,,,,,,,10,0,Nordeste,RPGA do Rio Itapicuru,0
Juazeiro (Itaberaba) - 291840701A,-9.44837,-40.48517,5.6,78.2,50.6,30.8,30.2,6.2,,,0,,33,13.8,Norte,RPGA dos Rios Macururé e Curaçá,201.6
Juazeiro (Maria Gorete) - 291840703A,-9.42014,-40.49909,3.8,67.6,44.2,32.4,21.8,4.6,,,0.2,,25.8,8.6,Norte,RPGA dos Rios Macururé e Curaçá,174.6
Juazeiro (João Paulo II) - 291840704A,-9.47067,-40.49805,6.2,89.8,55.4,61.6,39.8,5.8,,,0.2,,22,5.8,Norte,RPGA dos Rios Macururé e Curaçá,258.8
Lapão - 291915701A,-11.38,-41.83,50.4,49.2,98.2,74,0,0,,,2,,29.4,5.4,Norte,RPGA dos Rios Verde e Jacaré,273.8
América Dourada (Centro) - 290115501A,-11.45011,-41.434004,5.8,129.4,26.6,,,,,,,,31.6,42.8,Norte,RPGA dos Rios Verde e Jacaré,161.8
Irecê - 83182,-11.3,-41.866667,18.4,59,137.7,,2.1,1.3,,4.5,0.2,26.4,28,,Norte,RPGA dos Rios Verde e Jacaré,249.6
Remanso - 82979,-9.633333,-42.1,0,95.3,106.8,40.7,0.7,0,0,0,0,0,9.2,16.9,Norte,RPGA do Lago de Sobradinho,243.5
Umburanas (Delfino) - A443,-10.45492,-41.206996,2.2,88.6,75.6,34.8,1.4,15.6,7.4,9.2,5.2,13.6,2.6,46.4,Norte,RPGA do Rio Salitre,253.6
Remanso - A423,-9.625693,-42.077214,0,94.8,103.6,42.4,0.8,0,0,,,0,11.2,57.8,Norte,RPGA do Lago de Sobradinho,241.6
Irecê - A424,-11.328998,-41.864504,25.4,41.6,123.4,71.6,11,0.8,8.2,1.2,2.6,34.6,16.4,25.6,Norte,RPGA dos Rios Verde e Jacaré,320.41
Itaguaçu da Bahia (Várzea Grande) - VJ-PR-04,-10.908939,-42.516536,0,0,,,,,,,,,,,Norte,RPGA dos Rios Verde e Jacaré,0
