Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/17,Fev/17,Mar/17,Abr/17,Mai/17,Jun/17,Jul/17,Ago/17,Set/17,Out/17,Nov/17,Dez/17,Região,Rpga,Total
Itaberaba - A408,-12.524062,-40.299714,14.4,13.2,23.6,85.8,36,32.6,35.8,8.8,28.2,8.6,54.8,92,Chapada Diamantina,RPGA do Rio Paraguaçu,287
Macajuba - A412,-12.131694,-40.354222,3.8,27.8,9.2,115.4,3.4,6,16.2,16.2,,,84.4,54.4,Chapada Diamantina,RPGA do Rio Paraguaçu,198
Itaberaba - 83244,-12.516667,-40.283333,14,11.9,21.6,85.4,32.7,23.9,31.1,8.2,23.9,7,53.6,96.6,Chapada Diamantina,RPGA do Rio Paraguaçu,259.71
Lençóis - 83242,-12.5575,-41.388889,3.2,36.9,87.3,98.8,109.1,26.7,49.4,9.8,44.1,2.9,161,51.6,Chapada Diamantina,RPGA do Rio Paraguaçu,468.2
Morro do Chapéu - 83184,-11.216667,-41.216667,6.6,13.7,73.8,,21.2,24.4,29.6,19.2,33.7,4.2,95.2,47.7,Chapada Diamantina,RPGA do Rio Salitre,226.4
Piatã - A430,-13.155681,-41.774125,0.4,3.8,,,3.8,3.8,5.4,2,2.8,0,,51,Chapada Diamantina,RPGA do Rio de Contas,22.01
Lençóis - A425,-12.557854,-41.388808,,,88.6,91,113,28.2,50.8,10.4,45.8,3.2,161.8,53,Chapada Diamantina,RPGA do Rio Paraguaçu,431
Itaetê,-12.991944,-40.960833,9.2,7.2,31.2,,20,29.4,23,11.1,17.8,3.8,125.8,107.8,Chapada Diamantina,RPGA do Rio Paraguaçu,152.71
Iacú (Lagoa Bonita) - PG-PR-15,-12.931506,-40.226468,2,2,,,,,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,4
Iaçu (João Amaro) - PG-PR-16,-12.800391,-40.363139,6.25,9.75,,,,,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,16
