Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/21,Fev/21,Mar/21,Abr/21,Mai/21,Jun/21,Jul/21,Ago/21,Set/21,Out/21,Nov/21,Dez/21,Região,Rpga,Total
Lençóis - 83242,-12.5575,-41.388889,37.2,69.3,37.8,185.5,13.2,52.9,24.4,54.7,,269.7,334.1,648,Chapada Diamantina,RPGA do Rio Paraguaçu,744.7
Morro do Chapéu - 83184,-11.216667,-41.216667,18.2,114.9,6.3,112.1,17.6,25.9,20.5,27.5,,94,175.4,223.1,Chapada Diamantina,RPGA do Rio Salitre,437
Piatã - A430,-13.155681,-41.774125,117.6,122,30.4,37.8,15.2,14.4,5.2,31.4,1.6,93.6,,,Chapada Diamantina,RPGA do Rio de Contas,469.2
Livramento de Nossa Senhora - 291950401U,-13.682872,-41.841236,17.8,169.6,,,,,,,,,,,Chapada Diamantina,RPGA do Rio de Contas,187.4
Iaçu - 51280000,-12.7622,-40.2136,16.6,104.2,12.4,117,7.2,26,11.4,9.4,10.6,43.8,328,164.2,Chapada Diamantina,RPGA do Rio Paraguaçu,358.6
Lençóis - A425,-12.557854,-41.388808,23.6,16.4,4.4,13,0,3,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,60.4
Iacú (Lagoa Bonita) - PG-PR-15,-12.931506,-40.226468,19,132.2,33,161,4.4,16.8,9.4,15.4,6.6,28.6,292.8,217.6,Chapada Diamantina,RPGA do Rio Paraguaçu,426.4
Iaçu (João Amaro) - PG-PR-16,-12.800391,-40.363139,8.4,17.8,4.6,116.8,4.6,17,3.6,18.2,6.2,326.5,268.4,222.6,Chapada Diamantina,RPGA do Rio Paraguaçu,523.7
Ruy Barbosa - PG-PR-18,-12.285653,-40.513698,,,,,,,,,,21.6,392.8,,Chapada Diamantina,RPGA do Rio Paraguaçu,21.6
Wagner - PG-PR-22,-12.289538,-41.161774,,,,,,,,,,,221.4,276.8,Chapada Diamantina,RPGA do Rio Paraguaçu,0
Mucugê (Guiné) - PG-PR-24,-12.771772,-41.540679,18.2,184.8,11,131,6.6,22.8,7.8,12.6,0.6,221.8,217.2,298.2,Chapada Diamantina,RPGA do Rio Paraguaçu,617.2
Marcionílio Souza (Machado Portela) - PG-PR-26,-13.153732,-40.768155,18.8,20.4,15.6,160.2,1.2,5.4,8.2,20,3.4,52.4,345.6,270.6,Chapada Diamantina,RPGA do Rio Paraguaçu,305.6
Rio do Pires - PM-CL-04,-13.11695,-42.28411,31.8,130.8,19,64.4,0,0,0,0.4,0,28.6,169.4,394.2,Chapada Diamantina,RPGA dos Rios Paramirim e Santo Onofre,275.01
Barro Alto,-11.769188,-41.909464,0,,,107.4,0.8,1,0,1.8,6.2,148,,,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,265.2
Iaçu - PG-CL-05,-12.9114,-40.03177,63.4,75.7,,128.6,7.8,7.4,13.8,12.6,3,43.8,232,229,Chapada Diamantina,RPGA do Rio Paraguaçu,356.1
Barra dos Mendes,-11.805077,-42.05708,75.8,,4.2,142.6,0,1.4,0,0.8,3,103.2,,,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,331
América Dourada,-11.464848,-41.442615,4.8,98.2,4.6,78.4,0.4,0.6,0,0,0,107.4,,,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,294.4
Cafarnaum,-11.676688,-41.470143,0,0,,48.8,1.4,0.2,1.4,7.6,5.8,46.4,,,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,111.6
Mundo Novo (Ibiaporã) - PG-CL-01,-12.05379,-40.83722,,,,,,,38.8,35,9.6,46.4,85.6,,Chapada Diamantina,RPGA do Rio Paraguaçu,129.8
Marcionílio Souza - PG-CL-03,-13.00021,-40.537783,9.2,58.6,20.2,196.2,4,8.6,9.6,11.8,10.4,116.4,384.4,245,Chapada Diamantina,RPGA do Rio Paraguaçu,445
Seabra - PG-PR-01,-12.428149,-41.770409,11.8,174.6,3.8,,,,,10.4,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,200.61
Iraquara - PG-PR-02,-12.255093,-41.61679,,,,,,,,,,,95.4,219.2,Chapada Diamantina,RPGA do Rio Paraguaçu,0
Baixa Grande - PG-PR-08,-11.908701,-40.183683,26.4,21.2,19,105.4,,26.2,66.8,65.6,11.4,42.6,184.4,215.8,Chapada Diamantina,RPGA do Rio Paraguaçu,384.6
Tapiramutá - PG-PR-09,-11.838502,-40.791761,,,,,,,,,,,215.6,203.8,Chapada Diamantina,RPGA do Rio Paraguaçu,0
Morro do Chapéu (Ventura) - PG-PR-10,-11.650911,-40.951765,9.4,81.8,6,165,11.4,21.4,17,17.6,1.6,58.6,212,147.2,Chapada Diamantina,RPGA do Rio Paraguaçu,389.8
Bonito - PG-PR-11,-11.98993,-41.25429,29,50.8,38,139.4,,,,,7.4,74.8,,,Chapada Diamantina,RPGA do Rio Paraguaçu,339.4
