Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/91,Fev/91,Mar/91,Abr/91,Mai/91,Jun/91,Jul/91,Ago/91,Set/91,Out/91,Nov/91,Dez/91,Região,Rpga,Total
Salvador (Ondina) - 83229,-13.005278,-38.505833,188.4,86.8,112.9,304.5,298.2,316.5,100.2,129.1,73.9,30.9,96.6,31,Recôncavo,RPGA do Recôncavo Norte,1641.4
Cruz das Almas - 83222,-12.666667,-39.083333,38.6,58.1,172.9,64.9,159.3,149.9,129,111,45.1,61.2,84.2,89.7,Recôncavo,RPGA do Rio Paraguaçu,990.01
Senhor do Bonfim - 83088,-10.490649,-40.100044,73.3,132.4,89.3,19,77.7,130.6,65,80.7,26.9,0,92.6,129.3,Nordeste,RPGA do Rio Itapicuru,694.9
Guaratinga - 83446,-16.58,-39.78,,,61.8,,143.4,58.7,72.9,80,,168.1,247.8,,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",584.9
Alagoinhas - 83249,-12.148333,-38.425556,21.3,20.1,108.5,205.5,239.8,180.5,110.9,69.2,74.6,19.2,27.3,20.9,Recôncavo,RPGA do Recôncavo Norte,1049.61
Mascote - 53950000,-15.565561,-39.302756,,68.3,148.1,92.5,176.1,141.6,106.7,64.2,29.4,207.6,286.2,90.8,Sul,RPGA do Rio Pardo,1034.5
Ituruçu (Jaguaquara) - 83295,-13.527828,-40.119752,39.7,,,23,76.2,74.1,57.4,59.9,24.9,33.9,154.7,104.7,Sudoeste,RPGA do Recôncavo Sul,389.1
Andaraí - 1241008,-12.801332,-41.284461,268.4,61.2,401.8,240,116.2,110.8,72.6,57.8,16.4,67.2,817.8,155,Chapada Diamantina,RPGA do Rio Paraguaçu,1412.4
Maiquinique (CEPLAC) - 368,-15.534722,-40.251116,28.5,37.8,79.8,26.7,51.7,72.9,24.7,55.6,7.1,44.4,297.6,139.3,Sudoeste,RPGA do Rio Pardo,429.2
Monte Santo - 83090,-10.4425,-39.331111,50.5,18,108.9,62.5,32.8,106,48.5,48.4,4.6,0.2,129.3,24.8,Nordeste,RPGA do Rio Itapicuru,480.4
Jacobina - 83186,-11.172778,-40.534167,52.9,110.9,91.5,46.3,59.9,74.9,22.6,29.9,1.5,0,194.8,44.4,Nordeste,RPGA do Rio Itapicuru,490.4
Morro do Chapéu - 83184,-11.216667,-41.216667,33.1,51.1,,20.6,52.5,51.3,28.9,28,9.1,1.9,200.7,128.2,Chapada Diamantina,RPGA do Rio Salitre,276.5
Itaberaba - 83244,-12.516667,-40.283333,51,15.4,95.3,22.7,53.7,66.1,36.6,24.6,12.3,,166.9,106.1,Chapada Diamantina,RPGA do Rio Paraguaçu,377.7
Vitória da Conquista - 83344,-14.883333,-40.8,,36.5,81.5,,,,24,24.5,,,,151.9,Sudoeste,RPGA do Rio Pardo,166.5
Jequié,-13.883579,-40.141382,,,128.7,5.4,47.9,15.9,44.3,22.9,0,26.6,214.5,123.6,Sudoeste,RPGA do Rio de Contas,291.7
Tanhaçu - Santo Antônio (ANA),-14.100801,-41.292245,25.1,,85.7,0,26,15.8,3.4,12.3,5.8,12,243.8,97.7,Sudoeste,RPGA do Rio de Contas,186.11
Barreiras - 83236,-12.155556,-45.007778,229.4,70.3,214.7,44.9,,0,0.6,0.2,11.8,15.6,149.6,120.6,Oeste,RPGA do Rio Grande,587.5
Irecê - 83182,-11.3,-41.866667,131.2,17.7,107.8,14.4,0.4,0.5,0.4,0,0,0,90.6,192.5,Norte,RPGA dos Rios Verde e Jacaré,272.4
Remanso - 82979,-9.633333,-42.1,182.9,126.6,,88.8,1.4,3,0.6,0,0,,193.4,32.8,Norte,RPGA do Lago de Sobradinho,403.3
Barreiras (Form. Rio Preto) - 46550000,-11.154444,-45.009166,220.9,62.3,206.1,41.8,2.8,0,0.8,0,11.6,13.7,,120.6,Oeste,RPGA do Rio Grande,560
São Desidério (Fazenda Coqueiro) - 46490000,-12.390474,-44.93344,245,91.9,178.4,68.2,3.2,0,0,0,35.3,44,201.3,142.8,Oeste,RPGA do Rio Grande,666
Barreiras (Nova Vida Montante) - 46590000,-11.867963,-45.084552,293.5,105.3,184.2,50.8,17.7,0,0,0,9.9,21.8,196.4,179.6,Oeste,RPGA do Rio Grande,683.2
São Desidério (Derocal) - 46455000,-12.412696,-45.121499,303.8,60.9,200.8,61.7,0,0,0,0,17.4,5.9,216.3,110.9,Oeste,RPGA do Rio Grande,650.5
Ibotirama - 46150000,-12.181866,-43.224509,135.1,64,159.6,21.3,0,0,0,0,9.2,0,116.3,94.3,São Francisco,RPGA dos Rios Paramirim e Santo Onofre,389.2
