Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/20,Fev/20,Mar/20,Abr/20,Mai/20,Jun/20,Jul/20,Ago/20,Set/20,Out/20,Nov/20,Dez/20,Região,Rpga,Total
Itaberaba - A408,-12.524062,-40.299714,42.8,17.8,17.4,,,,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,78
Macajuba - A412,-12.131694,-40.354222,37.8,0.2,0,,,,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,38
Lençóis - 83242,-12.5575,-41.388889,267.4,38.3,314.7,230.9,91.6,87.3,85.3,63.6,41.3,,308.1,6.3,Chapada Diamantina,RPGA do Rio Paraguaçu,1220.4
Morro do Chapéu - 83184,-11.216667,-41.216667,244.9,30.6,57.7,111.4,,,,,,,,,Chapada Diamantina,RPGA do Rio Salitre,444.6
Piatã - A430,-13.155681,-41.774125,198.8,42,306,232.6,41,55.6,75.4,37.4,23.8,114.6,292.4,17.2,Chapada Diamantina,RPGA do Rio de Contas,1127.2
Livramento de Nossa Senhora - 291950401U,-13.682872,-41.841236,196,62,204.2,99.4,10.8,4.8,5,0.4,1,84.6,330,0.2,Chapada Diamantina,RPGA do Rio de Contas,668.2
Iaçu - 51280000,-12.7622,-40.2136,21.8,16.2,193,106,17.4,23.6,38.4,55.6,35.2,30.4,,2.4,Chapada Diamantina,RPGA do Rio Paraguaçu,537.6
Lençóis - A425,-12.557854,-41.388808,280.6,38.2,301.4,237.4,90,86.2,87.2,64.2,43,116.2,309.8,6.8,Chapada Diamantina,RPGA do Rio Paraguaçu,1344.4
Itaetê,-12.991944,-40.960833,11.8,814.6,102.2,131.4,0,0,1.2,0.2,1.6,0.4,,,Chapada Diamantina,RPGA do Rio Paraguaçu,1063.4
Iacú (Lagoa Bonita) - PG-PR-15,-12.931506,-40.226468,50.8,9.8,125.8,137,10.8,19,16.6,34.6,18.6,83.8,73.4,112.2,Chapada Diamantina,RPGA do Rio Paraguaçu,506.81
Iaçu (João Amaro) - PG-PR-16,-12.800391,-40.363139,71,14,172,99.4,27.6,28,28.6,55,32.4,44.8,100.2,5.4,Chapada Diamantina,RPGA do Rio Paraguaçu,572.8
Mucugê (Guiné) - PG-PR-24,-12.771772,-41.540679,219.4,95.2,276.4,179.2,33,38.6,48.6,26,19.8,86.4,233.2,1.8,Chapada Diamantina,RPGA do Rio Paraguaçu,1022.6
Marcionílio Souza (Machado Portela) - PG-PR-26,-13.153732,-40.768155,135.6,21.6,176.6,222.2,33.8,45.4,30.8,16.4,14.8,54.6,228.1,26,Chapada Diamantina,RPGA do Rio Paraguaçu,751.8
Érico Cardoso (Fazenda Cachoeira) - PM-FD-01,-13.424562,-42.162095,130.4,133,183.6,107.8,,,0.6,,,,,,Chapada Diamantina,RPGA dos Rios Paramirim e Santo Onofre,555.4
Mulungu do Morro,-11.980363,-41.619012,,,,,,,,,15.6,67.2,,,Chapada Diamantina,RPGA do Rio Paraguaçu,82.8
Rio do Pires - PM-CL-04,-13.11695,-42.28411,128.2,81.4,143.5,69.2,9.4,0.5,0.9,0.3,0,108.8,231.6,1.6,Chapada Diamantina,RPGA dos Rios Paramirim e Santo Onofre,542.2
Seabra - PG-CL-09,-12.39971,-41.78893,248.7,67.9,178.4,95.6,13.4,14.2,18.6,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,636.81
Barro Alto,-11.769188,-41.909464,,,,,,,,,0,0,0,0,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,0
Iaçu - PG-CL-05,-12.9114,-40.03177,70.2,5.2,173.8,138.4,17.6,16.8,18,30.2,25.6,25.6,78.4,,Chapada Diamantina,RPGA do Rio Paraguaçu,521.41
Barra dos Mendes,-11.805077,-42.05708,,,,,,,,,4.2,114.4,366.4,0,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,118.61
América Dourada,-11.464848,-41.442615,,,,,,,,,0.4,109.4,142.4,0,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,109.81
Cafarnaum,-11.676688,-41.470143,,,,,,,,,0,0,0,0,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,0
Mundo Novo (Ibiaporã) - PG-CL-01,-12.05379,-40.83722,181,114.3,218.2,137.2,105.6,94.8,79.8,89,71,53.4,45.4,,Chapada Diamantina,RPGA do Rio Paraguaçu,1144.31
Marcionílio Souza - PG-CL-03,-13.00021,-40.537783,144.6,61.9,149.8,127.9,23.6,18,36.4,16,28.2,54.4,167.6,0,Chapada Diamantina,RPGA do Rio Paraguaçu,660.81
Mucugê - PG-PR-28,-13.07667,-41.43772,2.2,76.2,9,,,,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,87.4
Seabra - PG-PR-01,-12.428149,-41.770409,250.6,113.4,202.6,113.6,22,11.8,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,714
Baixa Grande - PG-PR-08,-11.908701,-40.183683,92,95,260.4,229,77.2,131,122,66.6,102,56.4,132.6,1,Chapada Diamantina,RPGA do Rio Paraguaçu,1231.61
Morro do Chapéu (Ventura) - PG-PR-10,-11.650911,-40.951765,195.8,6.2,90.2,94.2,38.4,57.6,39.4,29.4,34,99.3,149,0.6,Chapada Diamantina,RPGA do Rio Paraguaçu,684.5
Bonito - PG-PR-11,-11.98993,-41.25429,150.6,15.8,,,,,,,89.8,47.4,190,2.8,Chapada Diamantina,RPGA do Rio Paraguaçu,303.6
Cafarnaum - 290530501C,-11.745086,-41.497934,108.8,4,161.4,76.2,58.4,1.6,1,2.8,2.2,50.8,,,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,467.2
Piatã - CO-CL-04,-13.164166,-41.770833,211.5,29.75,359,311.75,47,59,90.5,49,30.75,122.25,332.25,14.65,Chapada Diamantina,RPGA do Rio de Contas,1310.5
Lajedinho (Centro) - 291900901A,-12.35585,-40.90228,,,,,,,,,,64.2,235.6,2.8,Chapada Diamantina,RPGA do Rio Paraguaçu,64.2
Itaberaba (PC Ponte Rio Capivari) - 51326200,-12.51429,-39.93422,32.6,5.6,80.4,46.8,4,41.2,36.2,27.6,24.8,22.8,116.8,2,Chapada Diamantina,RPGA do Rio Paraguaçu,322.01
Wagner (Fazenda Terra Grapiúna) - PG-FR-04,-12.181482,-41.150663,,,,,,,28.4,25.4,8,114.8,267.2,0.4,Chapada Diamantina,RPGA do Rio Paraguaçu,176.6
Fazenda Fecho da Serra - PG-FR-21,-11.58517,-40.87936,,,,,,,,,,21.4,,,Chapada Diamantina,RPGA do Rio Paraguaçu,21.4
Lençóis (BR-242) - PG-FR-01,-12.50472,-41.20778,,,,,,,,37.6,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,37.6
Itaeté (Açude Bandeira de Melo Jusante) - PG-FR-18,-13.04056,-40.777224,,,,,,,,,,,,0.2,Chapada Diamantina,RPGA do Rio Paraguaçu,0
Itaberaba - 291470301C,-12.457663,-40.201519,29,10.8,142.4,52,18.4,79.4,,44.8,46.2,45.2,118.8,4.2,Chapada Diamantina,RPGA do Rio Paraguaçu,468.2
Utinga - 293280401C,-12.0756,-41.102466,65.6,57,199.8,126.6,89,27.2,32,19,13.6,80,130.2,0,Chapada Diamantina,RPGA do Rio Paraguaçu,709.81
Barro Alto - 290323501C,-11.811728,-41.901164,108.2,44.2,196.8,117.8,,9.2,,3.8,5.6,62,141.4,2.8,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,547.61
Ibicoara - 291220201C,-13.446389,-41.297933,,,,,,,,58.6,40.2,,,,Chapada Diamantina,RPGA do Rio de Contas,98.81
Rio de Contas - 292670701C,-13.570177,-41.818819,,,,,56.2,29.4,39.2,21,10.8,,,,Chapada Diamantina,RPGA do Rio de Contas,156.61
Chorrochó - 290770701C,-8.98354,-39.11837,,88.6,97.8,98.2,32,12,5.6,2.6,1,1,80,0.6,Nordeste,RPGA dos Rios Macururé e Curaçá,338.8
Rodelas - 292710101C,-8.85236,-38.76462,4.6,3.8,4.8,4.4,0,0.2,0.8,0.8,0,0,,,Nordeste,RPGA dos Rios Macururé e Curaçá,19.41
Cipó - 83192,-11.083333,-38.516667,123.1,,,,,,,,,,,,Nordeste,RPGA do Rio Itapicuru,123.1
Jacobina - 83186,-11.172778,-40.534167,81.6,26,,,,,,,,,,5.8,Nordeste,RPGA do Rio Itapicuru,107.6
Jacobina (Ladeira Vermelha) - 291750801A,-11.161707,-40.554213,163.2,11.2,69,77.4,63.2,70.4,57.2,20,36.8,30.6,158.4,6.2,Nordeste,RPGA do Rio Itapicuru,599
Jacobina (Feliz Tomaz) - 291750802A,-11.174316,-40.517837,104.8,33.8,72.6,146.2,155.4,156.2,106.4,53.4,87.4,38,208.2,7.8,Nordeste,RPGA do Rio Itapicuru,954.2
Monte Santo - 83090,-10.4425,-39.331111,62.2,59.7,,,,,,,,,,,Nordeste,RPGA do Rio Itapicuru,121.9
Serrinha - 83190,-11.633333,-38.966667,,70.1,158.1,,,,,,,,,,Nordeste,RPGA do Recôncavo Norte,228.2
Conde - A431,-12.03622,-37.68322,86.2,40.6,336.8,238,503,182.4,241.8,96.2,121.2,72.2,65.2,28.2,Nordeste,RPGA do Rio Itapicuru,1918.4
Uauá - A435,-9.833617,-39.495631,94.8,68.8,148.4,60.2,53.4,52.2,24.2,6.8,4.4,60.6,53.2,,Nordeste,RPGA do Rio Vaza-Barris,573.8
Euclides da Cunha - A442,-10.537233,-38.996605,101,46,203.2,127.6,148,138.4,108,87.4,15.6,22.8,165.4,9.2,Nordeste,RPGA do Rio Itapicuru,998
Queimadas - A436,-10.984645,-39.617009,39.8,70.2,125,35.2,48.2,59.6,38.6,,5.8,,,,Nordeste,RPGA do Rio Itapicuru,422.41
Jacobina - A440,-11.205136,-40.464979,83.6,1.8,0.2,0.6,,,,,,,,,Nordeste,RPGA do Rio Itapicuru,86.2
Heliópolis - 291185701C,-10.67348,-38.32726,23.8,82.8,107,112.8,82.8,68,64.2,35.2,12.2,,,,Nordeste,RPGA do Rio Real,588.81
Serrinha - A441,-11.664586,-39.022946,64.4,78.6,120.4,0.6,0.6,,,,,,,,Nordeste,RPGA do Rio Paraguaçu,264.6
Senhor do Bonfim  - A428,-10.443072,-40.148244,86.8,18.2,124.8,108.2,110.6,112.6,70.8,49.8,25.8,10.6,146.6,0,Nordeste,RPGA do Rio Itapicuru,718.2
