Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/03,Fev/03,Mar/03,Abr/03,Mai/03,Jun/03,Jul/03,Ago/03,Set/03,Out/03,Nov/03,Dez/03,Região,Rpga,Total
Boa Vista do Tupim - EBDA,-12.651332,-40.60111,0,0,3.4,0,59.5,17.2,18.8,0,0,0,92.9,0,Chapada Diamantina,RPGA do Rio Paraguaçu,98.9
Iaçu - EBDA,-12.768002,-40.217768,5,0,0,0,50.4,28.7,11.1,30,0,0,35.3,0,Chapada Diamantina,RPGA do Rio Paraguaçu,125.2
Itaberaba - EBDA,-12.534663,-40.301101,10.2,25.5,0,13,105,60,51,36.9,9.5,0,104.7,4,Chapada Diamantina,RPGA do Rio Paraguaçu,311.1
Itaetê - EBDA,-12.984669,-40.984455,0,0,0,0,124.3,32.6,0,75,10,8,68.5,0,Chapada Diamantina,RPGA do Rio Paraguaçu,249.9
Marcionílio Souza - EBDA,-13.001338,-40.534443,16.2,15,50.2,3.8,105.4,27.1,13.5,7.2,3.2,0,26.5,0,Chapada Diamantina,RPGA do Rio Paraguaçu,241.6
Ruy Barbosa - EBDA,-12.284657,-40.501107,9,0,35,26,113.6,59,44,40,52,26,64,8,Chapada Diamantina,RPGA do Rio Paraguaçu,404.6
Utinga - EBDA,-12.08465,-41.101122,25,0,0,0,120.5,27.5,0,3,4,0,62.5,0,Chapada Diamantina,RPGA do Rio Paraguaçu,180
Barra da Estiva - EBDA,-13.63468,-41.334467,203.5,0,35,38,59,110,29,63,10,0,0,0,Chapada Diamantina,RPGA do Rio de Contas,547.5
Baixa Grande - EBDA,-11.951317,-40.167762,60,0,0,5,183.35,96.5,99.02,54.5,0,0,110.74,0,Chapada Diamantina,RPGA do Rio Paraguaçu,498.37
Mairi - EBDA,-11.717981,-40.151095,60,0,44.1,11,208.7,47.2,54,8.1,48.5,0,110.6,0,Chapada Diamantina,RPGA do Rio Paraguaçu,481.6
Morro do Chapéu - EBDA,-11.551305,-41.151119,82.2,0,0,0,0,0,0,0,0,0,82,0,Chapada Diamantina,RPGA do Rio Paraguaçu,82.2
Mundo Novo - EBDA,-11.851314,-40.46777,226.5,38.5,57,0,202.5,100,66,51.5,44,0,118,25,Chapada Diamantina,RPGA do Rio Paraguaçu,786
Piritiba - EBDA,-11.751314,-40.551104,140,,,,,0,0,0,0,0,0,0,Chapada Diamantina,RPGA do Rio Paraguaçu,140
Itaberaba - A408,-12.524062,-40.299714,,15.4,7.8,12.8,70.6,,43.4,33.4,15.2,2.4,81.6,7.6,Chapada Diamantina,RPGA do Rio Paraguaçu,201
Barra do Mendes - EBDA,-11.817975,-42.06781,81.5,30,91.5,24,36,0,0,0,0,0,42.5,38,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,263
Cafarnaum - EBDA,-11.684641,-41.484462,85.5,0,30,86.4,24,7,0,0,0,0,95,5,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,232.9
Canarana - EBDA,-11.684641,-41.751137,107.2,3,41,59,24,3,0,13,0,0,25,15,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,250.2
Andaraí - EBDA,-12.801332,-41.317795,169,10,71,0,64,30,0,82,0,0,101,0,Chapada Diamantina,RPGA do Rio Paraguaçu,426
Iraquara - EBDA,-12.234651,-41.617801,255.5,15,93.2,6,61.5,0,0,9.5,0,0,154,0,Chapada Diamantina,RPGA do Rio Paraguaçu,440.7
Mucugê - EBDA,-13.001335,-41.367798,239.4,53.2,139.9,9,30.3,13.6,21.9,36.2,35.1,0,122.5,9.9,Chapada Diamantina,RPGA do Rio Paraguaçu,578.6
Piatã - EBDA,-13.201338,-41.751143,87,30,131.5,34,62,65.5,83,90.5,0,0,101.5,0,Chapada Diamantina,RPGA do Rio de Contas,583.5
Seabra - EBDA,-12.417987,-41.767806,67,4,40,19,8,5,0,15,0,9,45,5,Chapada Diamantina,RPGA do Rio Paraguaçu,167
Livramento do Brumado - EBDA,-13.651344,-41.834479,117.4,5.9,57.7,18,12.9,1.3,0,31,0,0,94,21.1,Chapada Diamantina,RPGA do Rio de Contas,244.21
Itaberaba - 83244,-12.516667,-40.283333,20.1,14.5,8,9.5,65.1,40.2,38.1,28.8,10.7,,76.7,6.3,Chapada Diamantina,RPGA do Rio Paraguaçu,235
Lençóis - 83242,-12.5575,-41.388889,,26.2,151.3,,95.7,49.9,48.6,49.2,35.5,14.7,118.2,20.4,Chapada Diamantina,RPGA do Rio Paraguaçu,471.1
Morro do Chapéu - 83184,-11.216667,-41.216667,83.3,18.7,23.1,13.7,64,33.5,28.7,13.3,24.1,2.3,100.1,1.2,Chapada Diamantina,RPGA do Rio Salitre,304.71
Iacú (Lagoa Bonita) - PG-PR-15,-12.931506,-40.226468,10.5,8.75,,4.25,36.25,46.5,12.75,16.75,13,1,,,Chapada Diamantina,RPGA do Rio Paraguaçu,149.75
Iaçu (João Amaro) - PG-PR-16,-12.800391,-40.363139,7.25,,7.25,25.75,45.5,27.5,23,15.25,16,4.75,51,1.75,Chapada Diamantina,RPGA do Rio Paraguaçu,172.25
Ruy Barbosa - PG-PR-18,-12.285653,-40.513698,10,6.25,34.75,13,76.5,43.5,17.5,12.75,33.25,10,129.75,11.5,Chapada Diamantina,RPGA do Rio Paraguaçu,257.5
Boninal - PG-PR-19,-12.67656,-41.8464,,2.5,20,5.75,6,,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,34.25
Piatã (Fazenda Cruz) - PG-PR-20,-12.90705,-41.86708,100.25,4,18,8,51.25,6.5,4.5,16.5,4,6,121,2,Chapada Diamantina,RPGA do Rio Paraguaçu,219
