Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/97,Fev/97,Mar/97,Abr/97,Mai/97,Jun/97,Jul/97,Ago/97,Set/97,Out/97,Nov/97,Dez/97,Região,Rpga,Total
Andaraí - 1241008,-12.801332,-41.284461,310.7,103.4,441.1,248.1,35.8,33,4.8,16.7,0.3,50.2,38.1,27.3,Chapada Diamantina,RPGA do Rio Paraguaçu,1244.1
Itaberaba - DERBA,-12.551329,-40.301101,38.8,52.4,235.4,76.9,,,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,403.5
Morro do Chapéu - DERBA,-11.517972,-41.151119,101.8,29.4,432.2,127.7,,,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,691.1
Seabra - DERBA,-12.417987,-41.767806,94,19,122,61,,,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,296
Tapiramutá - PG-PR-09,-11.838502,-40.791761,,95,,,,,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,95
Itaberaba - 83244,-12.516667,-40.283333,74.1,96.3,263.3,114.5,38.3,26.4,24.7,12.3,6.7,68.3,101.8,89,Chapada Diamantina,RPGA do Rio Paraguaçu,724.9
Lençóis - 83242,-12.5575,-41.388889,212,180.5,814.7,228.2,80.8,41.9,71,9.7,0.4,64.6,48.5,83.9,Chapada Diamantina,RPGA do Rio Paraguaçu,1703.81
Morro do Chapéu - 83184,-11.216667,-41.216667,149.3,56.2,464.5,143.1,47.2,41,41.7,16.9,0.2,165.8,71,32.3,Chapada Diamantina,RPGA do Rio Salitre,1125.9
Cipó - DERBA,-11.167975,-38.517717,44.5,60,143.2,51,,,,,,,,,Nordeste,RPGA do Rio Itapicuru,298.7
Jacobina - DERBA,-11.184635,-40.534435,120.8,62.5,333.4,89,,,,,,,,,Nordeste,RPGA do Rio Itapicuru,605.7
Senhor do Bonfim - DERBA,-10.467954,-40.184425,38.4,,190.62,43.2,,,,,,,,,Nordeste,RPGA do Rio Itapicuru,272.22
Cipó - 83192,-11.083333,-38.516667,51.1,67.8,,60.8,116.4,28,38.2,22.1,0,12,,47.8,Nordeste,RPGA do Rio Itapicuru,396.41
Jacobina - 83186,-11.172778,-40.534167,266,97.8,821.7,206.2,,32.1,22.6,25.7,0,88,69.5,,Nordeste,RPGA do Rio Itapicuru,1560.1
Monte Santo - 83090,-10.4425,-39.331111,,67.1,232.2,80,,20.5,46.6,32.9,0.2,23,66.1,49.4,Nordeste,RPGA do Rio Itapicuru,502.5
Paulo Afonso - 82986,-9.379325,-38.227424,119.1,23.7,137,121.2,110.4,25.3,53.6,33.8,0,4.1,34.6,15.3,Nordeste,RPGA dos Rios Macururé e Curaçá,628.2
Senhor do Bonfim - 83088,-10.490649,-40.100044,57.1,105,197.9,71,162,26.7,87.8,16.9,0,59.7,69.2,25,Nordeste,RPGA do Rio Itapicuru,784.1
Serrinha - 83190,-11.633333,-38.966667,135.1,98.3,451.7,,,48.7,79.2,,0.7,16,,67.7,Nordeste,RPGA do Recôncavo Norte,829.7
Irecê - 83182,-11.3,-41.866667,161,34,392.7,66,2.3,1,0,0,0.4,123.1,22.8,30.9,Norte,RPGA dos Rios Verde e Jacaré,780.5
Remanso - 82979,-9.633333,-42.1,,29.8,357.9,103.4,,0,0,,0,25.7,39.3,46.3,Norte,RPGA do Lago de Sobradinho,516.81
Barreiras (Form. Rio Preto) - 46550000,-11.154444,-45.009166,255.2,71.3,375.5,147.2,22.7,3.9,0,0,4.9,78.3,33.5,160.9,Oeste,RPGA do Rio Grande,959
São Desidério (Fazenda Coqueiro) - 46490000,-12.390474,-44.93344,242.6,103.7,388.5,195.8,3,17.4,0,0,5.5,159.6,23.8,95.3,Oeste,RPGA do Rio Grande,1116.1
Barreiras (Nova Vida Montante) - 46590000,-11.867963,-45.084552,137,66.4,445.1,150.5,20.4,11.4,0,0,15.2,75.7,101.2,137.9,Oeste,RPGA do Rio Grande,921.7
São Desidério (Derocal) - 46455000,-12.412696,-45.121499,204.7,66,453.5,202.7,0.2,7.8,0,0,11.4,134.4,60,128.5,Oeste,RPGA do Rio Grande,1080.7
Barreiras - 83236,-12.155556,-45.007778,240.5,65.3,396.6,142.3,26.2,4,0,0,3.8,78,32.7,160.6,Oeste,RPGA do Rio Grande,956.7
Correntina - 83286,-13.332222,-44.617222,162.3,50.3,306.9,158.1,5.2,3.2,0.5,,7.1,151.9,54,117.7,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",845.51
Feira de Santana - DERBA,-12.251329,-38.767728,107.6,101.5,329.8,208.1,,,,,,,,,Recôncavo,RPGA do Recôncavo Norte,747
Santo Antônio de Jesus - DERBA,-12.96801,-39.267744,38.4,152,145.6,51.7,,,,,,,,,Recôncavo,RPGA do Recôncavo Sul,387.7
Santo Amaro - DERBA,-12.534669,-38.701059,60,228,446,72,,,,,,,,,Recôncavo,RPGA do Recôncavo Norte,806
Salvador (Ondina) - 83229,-13.005278,-38.505833,38.3,225.6,277.6,346.9,165.4,168.7,183.1,52,30,130.1,26.8,24.9,Recôncavo,RPGA do Recôncavo Norte,1617.7
Alagoinhas - 83249,-12.148333,-38.425556,124.8,115.4,222,92.6,171.4,134.2,93.7,59.4,1.6,40.7,8.5,16.6,Recôncavo,RPGA do Recôncavo Norte,1055.8
Camaçari - 83226,-12.701619,-38.334661,49.1,241.5,,215.5,201.9,280.8,174.7,76.6,11.9,108.1,5.5,35,Recôncavo,RPGA do Recôncavo Norte,1360.1
Cruz das Almas - 83222,-12.666667,-39.083333,18.4,128.7,358.1,71.2,221.3,30,124.7,64.7,9.4,95.9,38.5,49.8,Recôncavo,RPGA do Rio Paraguaçu,1122.41
Vitória da Conquista - DERBA,-14.951374,-40.884461,121.5,,410.5,206,,,,,,,,,Sudoeste,RPGA do Rio Pardo,738
Jequié,-13.883579,-40.141382,30,,344.8,80,35,22.2,34.6,8,0,29,45.2,69.7,Sudoeste,RPGA do Rio de Contas,583.6
Maiquinique (CEPLAC) - 368,-15.534722,-40.251116,28.7,111.4,474.9,79.2,,,,,13.5,57,64.2,33.3,Sudoeste,RPGA do Rio Pardo,764.7
Brumado - DERBA,-14.201356,-41.651143,123.8,30.2,261.2,52.6,,,,,,,,,Sudoeste,RPGA do Rio de Contas,467.8
Jequié-DERBA,-13.851356,-40.067768,48,105.1,293.1,77.4,,,,,,,,,Sudoeste,RPGA do Rio de Contas,523.6
Tanhaçu - Santo Antônio (ANA),-14.100801,-41.292245,45,28.7,220.8,30.8,15.4,16.6,22.8,2.3,0,56.6,46.3,31,Sudoeste,RPGA do Rio de Contas,439.01
Vitória da Conquista - 83344,-14.883333,-40.8,147.5,79.6,351.4,175,19,20,19.6,10.5,6.6,23.3,117.5,39.3,Sudoeste,RPGA do Rio Pardo,852.5
Ituruçu (Jaguaquara) - 83295,-13.527828,-40.119752,69.3,,,139.8,77.9,52.5,73.3,22.7,2,90.2,65,46.8,Sudoeste,RPGA do Recôncavo Sul,527.7
Mascote - 53950000,-15.565561,-39.302756,87.3,237.7,480.8,178.3,33.1,26.2,93.5,45.7,59.6,68.5,75.8,207.2,Sul,RPGA do Rio Pardo,1310.7
Itabuna - DERBA,-14.701377,-39.267752,45.5,143.1,405.9,136.3,,,,,,,,,Sul,RPGA do Leste,730.8
