Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/96,Fev/96,Mar/96,Abr/96,Mai/96,Jun/96,Jul/96,Ago/96,Set/96,Out/96,Nov/96,Dez/96,Região,Rpga,Total
Salvador (Ondina) - 83229,-13.005278,-38.505833,55.9,101.9,59.9,757.8,187.5,178.5,202.4,124,206.4,111.1,228.6,73.8,Recôncavo,RPGA do Recôncavo Norte,1985.4
Mascote - 53950000,-15.565561,-39.302756,45.6,26.8,72.7,123.5,6.8,79.2,32.4,108.6,95.8,45.3,271.8,66.5,Sul,RPGA do Rio Pardo,636.7
Camaçari - 83226,-12.701619,-38.334661,42,72.6,62.2,468.4,212.9,333.7,116.7,108.5,167.6,63.1,250.7,60.1,Recôncavo,RPGA do Recôncavo Norte,1647.7
Alagoinhas - 83249,-12.148333,-38.425556,24.4,63.7,30.3,307.6,57.4,189.3,76.3,103.2,119.5,18.8,121.4,60.1,Recôncavo,RPGA do Recôncavo Norte,990.5
Cruz das Almas - 83222,-12.666667,-39.083333,58.7,59,24.5,349.5,79.9,191.3,120.2,101.8,156.8,32.9,173.6,28.7,Recôncavo,RPGA do Rio Paraguaçu,1174.61
Lençóis - 83242,-12.5575,-41.388889,11.9,12.1,36,83,30.5,43.2,6.6,76.3,19.4,,158.6,70.5,Chapada Diamantina,RPGA do Rio Paraguaçu,319
Santo Amaro - DERBA,-12.534669,-38.701059,,51.5,8,370,80,370,188,73,165,8,270,48,Recôncavo,RPGA do Recôncavo Norte,1313.5
Serrinha - 83190,-11.633333,-38.966667,30.9,7.8,18.2,107.8,23.4,138.8,35.2,69.3,63.8,2.9,137.7,19.7,Nordeste,RPGA do Recôncavo Norte,498.1
Ituruçu (Jaguaquara) - 83295,-13.527828,-40.119752,30.5,,,59.1,21.5,70.4,33.9,58.5,52.9,42.5,203.7,26.2,Sudoeste,RPGA do Recôncavo Sul,369.3
Santo Estêvão - Embasa,-12.451332,-39.267741,,12.4,8.9,167.6,67.8,94.7,80.6,55.3,100.1,27.6,72.4,9.2,Recôncavo,RPGA do Rio Paraguaçu,615
Andaraí - 1241008,-12.801332,-41.284461,50.4,19.1,13.2,119.7,54.2,21.7,0,46.7,5.6,118.2,182.9,90.1,Chapada Diamantina,RPGA do Rio Paraguaçu,448.8
Teixeira de Freitas - DERBA,-17.5681,-39.234434,,40.7,54.4,51.1,1.6,0,11.2,46.3,36.4,55.8,325.1,83.5,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",297.5
Caravelas - 83498,-17.739167,-39.258333,13.9,28.3,150.9,137.2,47.4,70.8,16.6,44.5,73.6,117.9,,82,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",701.1
Santo Antônio de Jesus - DERBA,-12.96801,-39.267744,,100,16,108.7,27,92,47,39,101,6,35,0,Recôncavo,RPGA do Recôncavo Sul,536.7
Jacobina - 83186,-11.172778,-40.534167,7.6,34.6,1.3,71.6,79.5,139.1,33.7,37.6,50.5,111.1,395.9,126.8,Nordeste,RPGA do Rio Itapicuru,566.6
Andaraí - Embasa,-12.801332,-41.321128,,52.5,25.9,54.9,148.1,41.7,2.3,36,13.3,136.5,247,131.2,Chapada Diamantina,RPGA do Rio Paraguaçu,511.2
Feira de Santana - 83221,-12.196111,-38.967222,,21.2,,186,35.7,119.1,79,35.6,,3.3,,,Recôncavo,RPGA do Recôncavo Norte,479.91
Macajuba-EMBASA,-12.134654,-40.351101,,10.8,5.6,48,28.2,73.8,24.5,34.9,28.2,9.4,24.3,22.2,Chapada Diamantina,RPGA do Rio Paraguaçu,263.4
Itabuna - DERBA,-14.701377,-39.267752,,63.5,125,85.4,7.2,31.2,27.2,34.6,77.2,79.6,244,46.3,Sul,RPGA do Leste,530.9
Paulo Afonso - 82986,-9.379325,-38.227424,8,7.4,13.2,303.1,43.2,53.6,34.6,33.9,5.9,0,59.5,2.5,Nordeste,RPGA dos Rios Macururé e Curaçá,502.91
Guaratinga - 83446,-16.58,-39.78,39.3,45.3,53,28,2.8,10.2,11.6,33.7,81.3,57.1,340.8,88.8,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",362.3
Monte Santo - 83090,-10.4425,-39.331111,0,0.6,0.9,174,43.1,78.5,29.6,32.9,,0.6,60,39.8,Nordeste,RPGA do Rio Itapicuru,360.21
Senhor do Bonfim - DERBA,-10.467954,-40.184425,,1,10.6,126.9,102.9,30,20.1,32.8,5,5,182.8,29,Nordeste,RPGA do Rio Itapicuru,334.3
Senhor do Bonfim - 83088,-10.490649,-40.100044,4.3,2.8,24.5,82.3,119.7,112.8,35.5,32.3,29.7,0.9,191.9,59.7,Nordeste,RPGA do Rio Itapicuru,444.8
Ipirá - Embasa,-12.151323,-39.734419,,6.6,5.4,32.9,39.7,103.2,42.6,32.2,54.5,13.1,47.7,22.7,Nordeste,RPGA do Rio Paraguaçu,330.21
Rafael Jambeiro-EMBASA,-12.484665,-39.401077,,15,19.6,108.6,29.4,111.2,63.4,30.8,80.4,14,42.2,8,Recôncavo,RPGA do Rio Paraguaçu,472.4
Jacobina - DERBA,-11.184635,-40.534435,,21.1,10.7,58.4,50.7,73.2,19.1,30,36.5,73.2,170.5,52.9,Nordeste,RPGA do Rio Itapicuru,372.91
Cipó - 83192,-11.083333,-38.516667,0.5,4.5,7.9,84.8,19.5,69.1,24.7,29.6,40.7,6.5,83.7,40.3,Nordeste,RPGA do Rio Itapicuru,287.8
Capela do Alto Alegre - Embasa,-11.667981,-39.851086,,10.7,0,45.4,25,82.2,29.4,29,53,0,91.6,10.2,Nordeste,RPGA do Rio Paraguaçu,274.71
Ibiquera - Embasa,-12.634662,-40.934452,,0,2.1,19.5,0,23.2,14.2,28.1,77,4.4,148.2,5,Chapada Diamantina,RPGA do Rio Paraguaçu,168.5
Ponte do Rio Branco - Embasa,-12.284663,-39.001068,,23.3,9.9,186.6,34,139.9,68.7,25.4,90.6,43.8,90,58.1,Recôncavo,RPGA do Rio Paraguaçu,622.2
França - Piritiba - Embasa,-11.551308,-40.584438,,1.8,0,14,17,80.8,17.8,25.2,35.6,10.4,177.4,23.6,Nordeste,RPGA do Rio Paraguaçu,202.6
Argoim - Embasa,-12.551332,-39.551083,,6.4,7.4,68.4,42.6,65.2,36.7,24.5,47,28.5,71.8,5.1,Recôncavo,RPGA do Rio Paraguaçu,326.7
Mairi - Embasa,-11.701314,-40.151095,,1.8,5.7,22,20.5,71.6,18,24,51.2,10.3,28.5,7.7,Chapada Diamantina,RPGA do Rio Paraguaçu,225.11
Cipó - DERBA,-11.167975,-38.517717,,0,5,62.5,16.5,85.5,35,22,46.5,3.5,76.5,27.5,Nordeste,RPGA do Rio Itapicuru,276.5
Anguera - Embasa,-12.167993,-39.251074,,10,3,103.4,51.8,103.9,41.8,21.8,76,7.2,99.5,36,Recôncavo,RPGA do Rio Paraguaçu,418.91
Itaberaba - DERBA,-12.551329,-40.301101,,9.4,19.4,4.2,13,61.5,35.8,21.6,24.3,17.4,160.1,1.9,Chapada Diamantina,RPGA do Rio Paraguaçu,206.61
Mucugê - Embasa,-13.001335,-41.371131,,12.1,3.9,73,59.5,27.8,1.6,21.6,9.3,92.8,210.5,51.9,Chapada Diamantina,RPGA do Rio Paraguaçu,301.6
Ipecaetá - Embasa,-12.301329,-39.301074,,13.4,8.6,98.8,54,90,69.4,21.4,84.4,7.5,122.8,5,Recôncavo,RPGA do Rio Paraguaçu,447.5
