Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/07,Fev/07,Mar/07,Abr/07,Mai/07,Jun/07,Jul/07,Ago/07,Set/07,Out/07,Nov/07,Dez/07,Região,Rpga,Total
Boa Vista do Tupim - EBDA,-12.651332,-40.60111,5.6,227.6,26.7,58.9,2,27,0,16.6,0,1.7,53.2,42.3,Chapada Diamantina,RPGA do Rio Paraguaçu,366.1
Iaçu - EBDA,-12.768002,-40.217768,0,191.4,16.5,58.2,7,11.6,5.5,16.7,8,0,42.5,47.5,Chapada Diamantina,RPGA do Rio Paraguaçu,314.91
Itaberaba - EBDA,-12.534663,-40.301101,9,270.8,52.4,65.8,22,59.6,12,38.7,9.8,5.5,56.9,56.7,Chapada Diamantina,RPGA do Rio Paraguaçu,545.6
Itaetê - EBDA,-12.984669,-40.984455,1.2,495,52,109.8,7.7,0,6,19.4,0,0,58.3,29.6,Chapada Diamantina,RPGA do Rio Paraguaçu,691.1
Marcionílio Souza - EBDA,-13.001338,-40.534443,7.5,341,116.9,109,0,0,10,54,0,0,57.5,55.5,Chapada Diamantina,RPGA do Rio Paraguaçu,638.4
Ruy Barbosa - EBDA,-12.284657,-40.501107,0,335,53,64,15,43,18,33,31,1,65,25,Chapada Diamantina,RPGA do Rio Paraguaçu,593
Utinga - EBDA,-12.08465,-41.101122,7,342,80,20,6,29.1,14,9,3,0,55,86,Chapada Diamantina,RPGA do Rio Paraguaçu,510.1
Barra da Estiva - EBDA,-13.63468,-41.334467,25,376,22,124,18,68.2,85,20.5,32.3,10.2,52.3,48.6,Chapada Diamantina,RPGA do Rio de Contas,781.2
Itaetê,-12.981335,-40.951122,3,354,32,54,13,21,17,18,0,4,70,45,Chapada Diamantina,RPGA do Rio Paraguaçu,516
Baixa Grande - EBDA,-11.951317,-40.167762,0,390,60,81.5,7,73.5,32,40.5,0,0,0,36,Chapada Diamantina,RPGA do Rio Paraguaçu,684.5
Mairi - EBDA,-11.717981,-40.151095,15,240,45.3,25.5,13,0,11,34.2,9.6,5.2,15.3,18.9,Chapada Diamantina,RPGA do Rio Paraguaçu,398.8
Morro do Chapéu - EBDA,-11.551305,-41.151119,0,385,36.5,4,2,20.5,0,20.5,41.5,9,58,28,Chapada Diamantina,RPGA do Rio Paraguaçu,519
Mundo Novo - EBDA,-11.851314,-40.46777,0,427.5,82.5,66,10,72,30,0,50,0,35,42,Chapada Diamantina,RPGA do Rio Paraguaçu,738
Piritiba - EBDA,-11.751314,-40.551104,0,160,0,0,0,0,0,0,0,0,0,0,Chapada Diamantina,RPGA do Rio Paraguaçu,160
Itaberaba - A408,-12.524062,-40.299714,8.4,254.4,54.8,78.2,26.4,60.6,19,45.4,23.6,9.8,58.4,64.8,Chapada Diamantina,RPGA do Rio Paraguaçu,580.6
Barra do Mendes - EBDA,-11.817975,-42.06781,60,280.3,4,25,0,0,0,0,0,0,59.5,56,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,369.3
Cafarnaum - EBDA,-11.684641,-41.484462,77,304.5,3,0,0,0,0,2,0,0,113,47,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,386.5
Canarana - EBDA,-11.684641,-41.751137,27.2,226.8,6.7,7.3,0,9.1,0,0,0,0,115.2,42.3,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,277.1
Andaraí - EBDA,-12.801332,-41.317795,10,360.2,50,98.5,19,19,19,0,8,27.5,58,110,Chapada Diamantina,RPGA do Rio Paraguaçu,611.2
Iraquara - EBDA,-12.234651,-41.617801,0,220.5,16.4,25.3,0,0,0,0,0,0,67.7,11.9,Chapada Diamantina,RPGA do Rio Paraguaçu,262.2
Mucugê - EBDA,-13.001335,-41.367798,23.3,235.7,128.6,5.8,0,17.8,17.1,0,10.4,0,73,143.6,Chapada Diamantina,RPGA do Rio Paraguaçu,438.71
Piatã - EBDA,-13.201338,-41.751143,26.9,251,92.3,64.4,9.4,49.4,23.3,27.1,24.4,0,58.2,188.1,Chapada Diamantina,RPGA do Rio de Contas,568.2
Seabra - EBDA,-12.417987,-41.767806,0,359,80,33,5,18,0,3,0,0,122,52,Chapada Diamantina,RPGA do Rio Paraguaçu,498
Livramento do Brumado - EBDA,-13.651344,-41.834479,71,176,8.4,17.2,0,0,0,0,0,0,,,Chapada Diamantina,RPGA do Rio de Contas,272.6
Itaberaba - 83244,-12.516667,-40.283333,8.1,253,49.7,73.8,24.2,53.7,15.4,38.5,16.7,7.5,54.7,64.1,Chapada Diamantina,RPGA do Rio Paraguaçu,540.6
Lençóis - 83242,-12.5575,-41.388889,12.4,390.1,116.1,209.4,21.5,68.1,21.9,39.2,52.1,29.8,97.7,87.8,Chapada Diamantina,RPGA do Rio Paraguaçu,960.6
Morro do Chapéu - 83184,-11.216667,-41.216667,32.6,444.3,48.9,18,8.3,30.2,13.2,34.5,22,8.4,62.6,37,Chapada Diamantina,RPGA do Rio Salitre,660.41
Iacú (Lagoa Bonita) - PG-PR-15,-12.931506,-40.226468,,,,,15.75,8.75,8.25,8.75,7,5.75,65.75,51.25,Chapada Diamantina,RPGA do Rio Paraguaçu,54.25
Iaçu (João Amaro) - PG-PR-16,-12.800391,-40.363139,14,174,57.5,88.25,2,15.75,6.75,27.5,9.5,2.25,80.25,25.75,Chapada Diamantina,RPGA do Rio Paraguaçu,397.5
Ruy Barbosa - PG-PR-18,-12.285653,-40.513698,,,,,,,,,,,,22.75,Chapada Diamantina,RPGA do Rio Paraguaçu,0
Boninal - PG-PR-19,-12.67656,-41.8464,20,262.5,45,,,,,2.5,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,330
Piatã (Fazenda Cruz) - PG-PR-20,-12.90705,-41.86708,,,,,,,,0,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,0
Iraquara (Afrânio Peixoto) - PG-PR-21,-12.260093,-41.445952,12,157.75,70.75,82,23.25,74.75,32,50,41,4.25,31.75,18.25,Chapada Diamantina,RPGA do Rio Paraguaçu,547.75
Wagner - PG-PR-22,-12.289538,-41.161774,6.75,182.5,39.5,60.25,8.25,38.25,5.25,9.5,4,1.25,90.75,18.75,Chapada Diamantina,RPGA do Rio Paraguaçu,355.5
Utinga - PG-PR-23,-12.030089,-41.058714,5.5,33.25,17.25,,,,,0,4.5,1.25,,,Chapada Diamantina,RPGA do Rio Paraguaçu,61.75
Mucugê (Guiné) - PG-PR-24,-12.771772,-41.540679,8.25,267.25,102.5,24.5,6.25,23,8,15.5,10,4.75,40.5,48,Chapada Diamantina,RPGA do Rio Paraguaçu,470
Iramaia - PG-PR-25,-13.290122,-40.962607,26.5,163,0,11.75,12.75,7.75,9.5,18.5,10.25,3.5,49.5,,Chapada Diamantina,RPGA do Rio Paraguaçu,263.5
Marcionílio Souza (Machado Portela) - PG-PR-26,-13.153732,-40.768155,,,,,10.25,5.5,11,6.5,14,,,29,Chapada Diamantina,RPGA do Rio Paraguaçu,47.25
Mucugê (Cascavel) - PG-PR-27,-13.285954,-41.287619,20.75,251.25,20.5,41.75,18.75,16.25,15.5,20.25,19.25,22.5,50,88,Chapada Diamantina,RPGA do Rio Paraguaçu,446.75
Mulungu do Morro,-11.980363,-41.619012,,,2,8,1,41,9,14,0,0,,33,Chapada Diamantina,RPGA do Rio Paraguaçu,75
Barro Alto,-11.769188,-41.909464,,,2.25,1,0,12,0.25,0.5,0,1,65.25,13.75,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,17
Canarana,-11.69541,-41.78921,46,159.25,3.5,7.75,0,7.5,0,0,0,0,93.75,41.5,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,224
Barra dos Mendes,-11.805077,-42.05708,29.75,53,0,0.25,0,4.25,0,0.25,0,,,,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,87.5
Olho D'Água do Francisco,-12.307034,-42.079028,,,,,0,0.25,,,,,,54.5,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,0.25
América Dourada,-11.464848,-41.442615,23.5,142,0,1,3,0,1.75,2.75,,0,54,73.5,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,174
Cafarnaum,-11.676688,-41.470143,85.75,248,,,0,0,,,,,,,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,333.75
Mundo Novo (Ibiaporã) - PG-CL-01,-12.05379,-40.83722,20.5,348.75,80.5,88.25,12,90.75,34,64.25,67.5,14.25,84,34.5,Chapada Diamantina,RPGA do Rio Paraguaçu,820.75
Marcionílio Souza - PG-CL-03,-13.00021,-40.537783,6.25,274,90.25,67.5,6.75,8.5,12.5,18,13.25,0.75,76.25,59.05,Chapada Diamantina,RPGA do Rio Paraguaçu,497.75
Seabra - PG-PR-01,-12.428149,-41.770409,3.5,204,66.5,46.25,1.25,13.75,5,8.75,7.75,2.25,94.75,34.25,Chapada Diamantina,RPGA do Rio Paraguaçu,359
Iraquara - PG-PR-02,-12.255093,-41.61679,7,180.5,37.25,29,0,16.25,7.5,11.25,4.25,0.75,57,71,Chapada Diamantina,RPGA do Rio Paraguaçu,293.75
Piritiba - PG-PR-07,-11.733137,-40.562306,0.75,344.75,41,80,14.25,27,7.75,15.75,14,6.5,36.75,41.25,Chapada Diamantina,RPGA do Rio Paraguaçu,551.75
Baixa Grande - PG-PR-08,-11.908701,-40.183683,,,,,,1182,470,307,20,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,1979
Tapiramutá - PG-PR-09,-11.838502,-40.791761,8,301.75,54.5,48.5,17.25,68.5,21.25,47.75,43.75,14,64.25,40.75,Chapada Diamantina,RPGA do Rio Paraguaçu,625.25
Morro do Chapéu (Ventura) - PG-PR-10,-11.650911,-40.951765,,,,,,,,,,,,0,Chapada Diamantina,RPGA do Rio Paraguaçu,0
Bonito - PG-PR-11,-11.98993,-41.25429,8.25,235.5,95.75,46,40.75,83,28.75,56.5,44.75,13.5,53.5,67,Chapada Diamantina,RPGA do Rio Paraguaçu,652.75
Piatã - CO-CL-04,-13.164166,-41.770833,70.25,261.25,68.75,42.25,10.25,32.25,29.5,17.5,23,2.75,121.25,151.25,Chapada Diamantina,RPGA do Rio de Contas,557.75
Souto Soares - PG-CL-04,-12.08538,-41.64815,,,,,3.15,42.25,8,10.25,8.75,3,89,117.2,Chapada Diamantina,RPGA do Rio Paraguaçu,75.4
Palmeiras - EBDA,-12.46799,-41.617801,0,246.1,112.5,7.5,0,0,0,0,0,0,83.5,0,Chapada Diamantina,RPGA do Rio Paraguaçu,366.1
Ibicoara - EBDA,-13.351341,-41.284464,95,449.5,115,80,0,59.5,89.5,65,65.1,,110.2,24,Chapada Diamantina,RPGA do Rio de Contas,1018.6
Jeremoabo - EBDA,-10.067951,-38.351041,0,185,77,40,47,42.5,52.5,62.5,21,0,0,45,Nordeste,RPGA do Rio Vaza-Barris,527.5
Coronel João Sá - EBDA,-10.284624,-37.917698,8,42,22,6,27,24,0,52,24.5,0,0,0,Nordeste,RPGA do Rio Vaza-Barris,205.5
Abaré - EBDA,-8.71792,-39.117725,0,81,41,4,74,36,0,4.8,0,0,0,0,Nordeste,RPGA dos Rios Macururé e Curaçá,240.8
Chorrochó - EBDA,-8.984593,-39.101059,,58,25,2,14,2,,12.6,,,,,Nordeste,RPGA dos Rios Macururé e Curaçá,113.6
Rodelas - EBDA,-8.83459,-38.751049,0,59.5,53,22,24,55,0.3,14.6,0,0,0,0,Nordeste,RPGA dos Rios Macururé e Curaçá,228.4
Macururé - EBDA,-9.16793,-39.051056,0,170.5,12.75,0,21.3,20,0,12.6,0,0,0,0,Nordeste,RPGA dos Rios Macururé e Curaçá,237.15
Curaçá - EBDA,-8.98459,-39.90108,101.1,198.1,22.8,15.5,0,5,0,0,0,0,0,0,Nordeste,RPGA dos Rios Macururé e Curaçá,342.5
Jacobina - EBDA,-11.167968,-40.501101,0,408,132,63,0,5,6,0,0,9,15.3,21,Nordeste,RPGA do Rio Itapicuru,623
Miguel Calmon - EBDA,-11.417972,-40.584438,3.6,397.3,35.8,18.2,0,42.6,25,0,0,0,71.3,88.8,Nordeste,RPGA do Rio Itapicuru,522.5
Saúde - EBDA,-10.934629,-40.417765,0,397.6,199,78.2,62,29,28.3,26,34.5,11.5,55.4,12,Nordeste,RPGA do Rio Itapicuru,866.1
Paulo Afonso - A411,-9.379325,-38.227424,2,17.6,0,1.4,0.6,70.6,38.2,58.4,23.6,0.8,0,12.4,Nordeste,RPGA dos Rios Macururé e Curaçá,213.2
