Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/05,Fev/05,Mar/05,Abr/05,Mai/05,Jun/05,Jul/05,Ago/05,Set/05,Out/05,Nov/05,Dez/05,Região,Rpga,Total
Boa Vista do Tupim - EBDA,-12.651332,-40.60111,76.4,277.7,0,38.9,49.1,14.2,18.9,10.2,10.2,0,86.1,78.3,Chapada Diamantina,RPGA do Rio Paraguaçu,495.6
Iaçu - EBDA,-12.768002,-40.217768,88,250.5,36.4,34.5,36.5,38.1,24.5,22.7,22,0,84,28.8,Chapada Diamantina,RPGA do Rio Paraguaçu,553.2
Itaberaba - EBDA,-12.534663,-40.301101,68.3,310.8,16.3,115.4,64.4,65.5,39.7,37.5,0,0,109.5,66,Chapada Diamantina,RPGA do Rio Paraguaçu,717.91
Itaetê - EBDA,-12.984669,-40.984455,39.6,297.6,0,71.5,56.6,18.1,12,7.4,21.6,0,124,43,Chapada Diamantina,RPGA do Rio Paraguaçu,524.41
Marcionílio Souza - EBDA,-13.001338,-40.534443,37,213,25,151.2,37.5,27.8,15,13.4,26,0,123.5,64.5,Chapada Diamantina,RPGA do Rio Paraguaçu,545.9
Ruy Barbosa - EBDA,-12.284657,-40.501107,32,305,0,14,92,71,53,48,6,0,126,117,Chapada Diamantina,RPGA do Rio Paraguaçu,621
Utinga - EBDA,-12.08465,-41.101122,45.7,168.5,134,23,28,42,40,4,0,0,162,36,Chapada Diamantina,RPGA do Rio Paraguaçu,485.2
Barra da Estiva - EBDA,-13.63468,-41.334467,75.5,162,93,132,89,29,61.9,46,0,0,68,0,Chapada Diamantina,RPGA do Rio de Contas,688.4
Baixa Grande - EBDA,-11.951317,-40.167762,42,84,137,187,189.5,30.5,35.5,43,34,0,94.5,150,Chapada Diamantina,RPGA do Rio Paraguaçu,782.5
Mairi - EBDA,-11.717981,-40.151095,104.5,202,12.5,34,36.5,116,59,60.5,15,0,99.5,42.5,Chapada Diamantina,RPGA do Rio Paraguaçu,640
Morro do Chapéu - EBDA,-11.551305,-41.151119,49.5,208,21,56.5,35,91,17.5,28,0,0,151,41.1,Chapada Diamantina,RPGA do Rio Paraguaçu,506.5
Mundo Novo - EBDA,-11.851314,-40.46777,82,197.5,95,102.5,62.5,142,92.5,106.5,0,0,148,92.5,Chapada Diamantina,RPGA do Rio Paraguaçu,880.5
Piritiba - EBDA,-11.751314,-40.551104,105,161.5,0,0,65,41,39,36,22,0,115,111,Chapada Diamantina,RPGA do Rio Paraguaçu,469.5
Itaberaba - A408,-12.524062,-40.299714,,,,102.8,,,,,,,124.8,54.4,Chapada Diamantina,RPGA do Rio Paraguaçu,102.8
Barra do Mendes - EBDA,-11.817975,-42.06781,189.5,210,180,16,29,1,0,0,0,0,221.8,138,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,625.5
Cafarnaum - EBDA,-11.684641,-41.484462,142,179,56,3,18,0,2,4,0,0,79.5,124,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,404
Canarana - EBDA,-11.684641,-41.751137,85,101.7,94,32,23,0,0,1,0,0,114.5,104.5,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,336.7
Andaraí - EBDA,-12.801332,-41.317795,175,258,194,123,94,0,34,48,30,0,232,75,Chapada Diamantina,RPGA do Rio Paraguaçu,956
Iraquara - EBDA,-12.234651,-41.617801,116.4,141.6,63.4,108.6,42.5,0,0,0,16.5,0.3,101.4,138.5,Chapada Diamantina,RPGA do Rio Paraguaçu,489.3
Mucugê - EBDA,-13.001335,-41.367798,100.2,371.2,104.9,130.5,73.8,21.6,0.4,30.5,36.9,10.1,157.9,25.4,Chapada Diamantina,RPGA do Rio Paraguaçu,880.1
Piatã - EBDA,-13.201338,-41.751143,203,210,164,63.2,70.5,68.2,75.4,31.8,40,0,73.6,115.1,Chapada Diamantina,RPGA do Rio de Contas,926.1
Seabra - EBDA,-12.417987,-41.767806,61,82,24,19.5,54,27,0,0,32,0,59,207.5,Chapada Diamantina,RPGA do Rio Paraguaçu,299.5
Livramento do Brumado - EBDA,-13.651344,-41.834479,154.4,112.2,78.7,56.5,45,3,0,0,0,0,77.1,58,Chapada Diamantina,RPGA do Rio de Contas,449.8
Itaberaba - 83244,-12.516667,-40.283333,62.6,180.8,22.1,117.1,43.3,64.4,43.6,21.2,8.1,1.6,119.7,53.4,Chapada Diamantina,RPGA do Rio Paraguaçu,564.81
Lençóis - 83242,-12.5575,-41.388889,145.8,329.3,218.5,142.6,77,82.7,58,71.1,16.9,5.5,211.5,149,Chapada Diamantina,RPGA do Rio Paraguaçu,1147.4
