Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/15,Fev/15,Mar/15,Abr/15,Mai/15,Jun/15,Jul/15,Ago/15,Set/15,Out/15,Nov/15,Dez/15,Região,Rpga,Total
Itaberaba - A408,-12.524062,-40.299714,5.6,149.6,5.4,62.2,21.8,,32.2,20,1.8,14.6,38.8,4.2,Chapada Diamantina,RPGA do Rio Paraguaçu,313.21
Macajuba - A412,-12.131694,-40.354222,4,90.2,4.4,28.2,72,97.2,52.8,50.6,10.8,7.8,1.2,7.2,Chapada Diamantina,RPGA do Rio Paraguaçu,418.01
Itaberaba - 83244,-12.516667,-40.283333,5.6,151.4,4.7,64,37.2,37.9,52.7,17.4,1.5,14.2,41.2,3,Chapada Diamantina,RPGA do Rio Paraguaçu,386.6
Lençóis - 83242,-12.5575,-41.388889,3.5,153.8,107.3,151,59.2,79.4,50.5,43.8,1.1,13.1,37.7,35.9,Chapada Diamantina,RPGA do Rio Paraguaçu,662.7
Morro do Chapéu - 83184,-11.216667,-41.216667,13.2,74.6,7.7,61.3,37.8,51.1,37.1,38.2,2.7,7.1,44,10.4,Chapada Diamantina,RPGA do Rio Salitre,330.8
Piatã - A430,-13.155681,-41.774125,10.2,135.2,21.4,142.2,91.4,78.6,64.2,81.6,1.4,40.4,93,92.4,Chapada Diamantina,RPGA do Rio de Contas,666.6
Lençóis - A425,-12.557854,-41.388808,3.8,159,101.6,147.4,65,80.8,53,45.6,1,15.4,42.4,33,Chapada Diamantina,RPGA do Rio Paraguaçu,672.6
Itaetê,-12.991944,-40.960833,,71.2,17.4,123.2,12.8,25.2,23.2,16.4,0,19.2,70,3,Chapada Diamantina,RPGA do Rio Paraguaçu,308.6
Iacú (Lagoa Bonita) - PG-PR-15,-12.931506,-40.226468,10.5,126.75,7.75,56,17.5,13.25,12.25,8,2.75,18,,,Chapada Diamantina,RPGA do Rio Paraguaçu,272.75
Iaçu (João Amaro) - PG-PR-16,-12.800391,-40.363139,5,66,2.75,31.5,59,22.5,29.75,18.75,0.5,25.25,41.5,1.75,Chapada Diamantina,RPGA do Rio Paraguaçu,261
Boa Vista Tupim - PG-PR-17,-12.65622,-40.589813,2.25,113.25,19.5,57.5,74,22.75,25,15.5,0.25,8.25,50,0.5,Chapada Diamantina,RPGA do Rio Paraguaçu,338.25
Ruy Barbosa - PG-PR-18,-12.285653,-40.513698,,75.75,8.25,116,,,27.5,13.25,1.25,12,1.5,,Chapada Diamantina,RPGA do Rio Paraguaçu,254
Wagner - PG-PR-22,-12.289538,-41.161774,1,80.5,10.5,44.25,33,14.5,,,,1.25,17.25,0.5,Chapada Diamantina,RPGA do Rio Paraguaçu,185
Utinga - PG-PR-23,-12.030089,-41.058714,10.5,62,2.5,54,115.5,27.25,18.5,,,6.5,,,Chapada Diamantina,RPGA do Rio Paraguaçu,296.75
Mucugê (Guiné) - PG-PR-24,-12.771772,-41.540679,10.25,150.25,97.5,78.5,47.5,13.5,21,17.5,0.25,11.5,41.75,,Chapada Diamantina,RPGA do Rio Paraguaçu,447.75
Mucugê (Cascavel) - PG-PR-27,-13.285954,-41.287619,8.25,53.5,38.75,81.25,35.25,23,26.75,31,1,28.25,38.5,2,Chapada Diamantina,RPGA do Rio Paraguaçu,327
Mulungu do Morro,-11.980363,-41.619012,14,78.4,2.2,52.4,30.6,17.2,15,4.6,1,1.8,39,1,Chapada Diamantina,RPGA do Rio Paraguaçu,217.2
Barro Alto,-11.769188,-41.909464,1.6,77.6,6.8,59.8,7.2,7.8,6.4,1,0.2,3.4,30,5.2,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,171.8
Canarana,-11.69541,-41.78921,8,89.4,10.6,165.2,12,1.8,1,3.8,0,1.2,13.8,40.6,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,293
Barra dos Mendes,-11.805077,-42.05708,1.4,65.4,33.6,109.4,23.8,6.2,2,0.8,0,4.4,36,5.8,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,247.01
