Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/06,Fev/06,Mar/06,Abr/06,Mai/06,Jun/06,Jul/06,Ago/06,Set/06,Out/06,Nov/06,Dez/06,Região,Rpga,Total
Santo Antônio de Jesus - EBDA,-12.96801,-39.267744,99.5,2.5,127,199,156,295,139,175,179.5,144.5,150,35,Recôncavo,RPGA do Recôncavo Sul,1517
Entre Rios - EBDA,-11.951326,-38.084374,12.5,82.5,230.5,289.5,210,364.5,192,159,190.5,97,97,3.8,Nordeste,RPGA do Recôncavo Norte,1828
Itaparica - EBDA,-12.884677,-38.684395,60.6,12.1,82,431.3,619.1,528.2,186.7,141.9,211.8,230.4,155.1,11.7,Recôncavo,RPGA do Recôncavo Sul,2504.11
Esplanada - EBDA,-11.784656,-37.951038,0,18.6,154.5,127.7,73.2,328,203.4,139.3,91.5,94.7,51,0,Nordeste,RPGA do Recôncavo Norte,1230.9
Mata de São João - EBDA,-12.534671,-38.30105,48,80,85.6,356,557,574,170,139,216,125,198,6,Recôncavo,RPGA do Recôncavo Norte,2350.6
Ilhéus - A410,-14.658803,-39.181438,147.2,,,,,526,116.6,137.6,,,,,Sul,RPGA do Leste,927.41
Muritiba - EBDA,-12.618004,-38.984401,65,0,0,322.6,252.5,487.5,148.5,137.5,192,159.5,150.5,50,Recôncavo,RPGA do Rio Paraguaçu,1765.1
Ubaíra - EBDA,-13.268014,-39.667756,61.6,25,182.2,383.1,31,188,79.9,125,91,198.7,190,39,Recôncavo,RPGA do Recôncavo Sul,1365.5
Salvador (Ondina) - 83229,-13.005278,-38.505833,40.1,7.1,35.9,587.4,396.5,401.4,91.7,122.7,126.9,258.9,220,30.3,Recôncavo,RPGA do Recôncavo Norte,2068.61
Paripiranga - EBDA,-10.684633,-37.851032,15.6,17.8,6,108.7,141.3,262.6,236.4,118.2,70.6,77.4,41.8,0,Nordeste,RPGA do Rio Vaza-Barris,1054.61
Antas - EBDA,-10.401293,-38.334375,0,1.5,117,237.1,141.7,428,223.5,116.5,97.5,59.5,48,0,Nordeste,RPGA do Rio Vaza-Barris,1422.3
Alcobaça - EBDA,-17.520876,-39.196654,18.6,21.2,189.8,130.5,82.4,205.6,26.7,113.3,82.84,144.4,148.3,172.39,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",1015.34
Salvador - Canabrava,-12.924122,-38.429942,45,15,93,606,517.5,455,246.5,113,72.9,134.1,223,8.2,Recôncavo,RPGA do Recôncavo Norte,2298
Cícero Dantas - EBDA,-10.584629,-38.384377,0,0,31,91.5,107.5,240,117,112.5,57.5,39.5,28,0,Nordeste,RPGA do Rio Real,796.5
Salvador (Abaeté) - RN-PR-01,-12.945407,-38.361404,37.5,45.25,79.75,506.52,313.75,285.5,127.75,110.75,83.5,152.75,188.75,19.2,Recôncavo,RPGA do Recôncavo Norte,1743.02
Salvador - Itapuã - RN-CL-01,-12.931388,-38.361111,39,47.75,76,507.75,316,285.5,127.75,110.75,83.5,152.75,189.75,18.5,Recôncavo,RPGA do Recôncavo Norte,1746.75
Amargosa - EBDA,-13.034677,-39.601086,106.5,0,134,156,45,145.5,71,108,42.5,238.5,139.6,17,Recôncavo,RPGA do Recôncavo Sul,1047
Conceição do Almeida - EBDA,-12.768005,-39.16774,30.5,3,57,102,109,332.5,145,96,145,92,186.5,12.5,Recôncavo,RPGA do Recôncavo Sul,1112
Castro Alves - EBDA,-12.751338,-39.434413,21,0,75,118,74,122.5,31,93.5,59,123,45.5,4,Recôncavo,RPGA do Rio Paraguaçu,717
Sítio do Quinto - EBDA,-10.367959,-38.201038,0,5.2,81.4,125.1,143.5,221.7,228.9,88.9,49.5,70.6,17.6,0,Nordeste,RPGA do Rio Vaza-Barris,1014.8
Conceição da Feira - EBDA,-12.501335,-39.001068,20.5,15,40.5,175.5,158.5,416.5,77.5,83,178,132,170.8,18,Recôncavo,RPGA do Recôncavo Norte,1297
Canavieiras - 83398,-15.666667,-38.95,100.9,50.5,155.5,222.6,163.9,244.3,66.2,79.9,116.8,154.5,137.6,65.7,Sul,RPGA do Rio Pardo,1355.11
Cruz das Almas - A406,-12.675422,-39.08958,65.8,,,,,276.2,71.6,79.2,115.4,95,92,13.8,Recôncavo,RPGA do Rio Paraguaçu,703.2
Catu - EBDA,-12.351333,-38.384384,46,45,28.5,307,318,548,156.5,78.4,179,132.5,177,8,Recôncavo,RPGA do Recôncavo Norte,1838.9
Cruz das Almas - 83222,-12.666667,-39.083333,63,0.5,41.4,167.6,105.5,281.1,70.8,77.9,125.5,90.5,89.1,19.2,Recôncavo,RPGA do Rio Paraguaçu,1023.8
Alagoinhas - 83249,-12.148333,-38.425556,11.9,1.5,37.7,175,202.9,277.7,108.3,77.7,147.6,61.6,97.5,4.3,Recôncavo,RPGA do Recôncavo Norte,1101.9
Alagoinhas - EBDA,-12.134662,-38.434384,14,2,33,197,206,255,112,74.5,140,67,91,7.5,Recôncavo,RPGA do Recôncavo Norte,1100.5
Eunápolis - EBDA,-16.368074,-39.567768,108.3,42.9,193.3,142.5,78.2,153,38.2,73.5,47.05,154.25,208,121.7,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",1031.2
Serrinha - RN-CL-02,-11.648333,-38.982777,1.5,25.75,71,100.5,66.75,85.15,58.5,72.75,106.75,48.5,38.75,1.25,Nordeste,RPGA do Recôncavo Norte,637.15
Ribeira do Pombal - EBDA,-10.834635,-38.534383,5,7,25,102.5,73.5,232,130,71,75.7,93.5,37,47.5,Nordeste,RPGA do Rio Itapicuru,815.2
Itamaraju - EBDA,-17.068089,-39.534438,85,42.1,184.7,96.1,12,139.5,38,71,122.4,147.5,286.1,186.6,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",938.3
Amélia Rodrigues (Rio Seco) - EBDA,-12.400777,-38.758839,0,0,13,289.5,212,311.5,148,70.2,195,175.5,160.5,15,Recôncavo,RPGA do Recôncavo Norte,1414.7
