Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/13,Fev/13,Mar/13,Abr/13,Mai/13,Jun/13,Jul/13,Ago/13,Set/13,Out/13,Nov/13,Dez/13,Região,Rpga,Total
Boa Vista do Tupim - EBDA,-12.651332,-40.60111,130.3,0,0,10.7,0,0,8.5,0,0,0,40.8,0,Chapada Diamantina,RPGA do Rio Paraguaçu,149.5
Iaçu - EBDA,-12.768002,-40.217768,189.1,0,15.5,0,7.3,6,12.8,16.8,11,0,63.5,,Chapada Diamantina,RPGA do Rio Paraguaçu,258.5
Itaberaba - EBDA,-12.534663,-40.301101,202.9,10,1.2,10,6.2,15.9,34.5,19.7,32.1,5,57.2,,Chapada Diamantina,RPGA do Rio Paraguaçu,337.5
Itaetê - EBDA,-12.984669,-40.984455,128,0,8.5,73.7,6,9,17.9,0,15,0,77.5,,Chapada Diamantina,RPGA do Rio Paraguaçu,258.1
Marcionílio Souza - EBDA,-13.001338,-40.534443,185.5,0,0,0,0,5,5,0,5,0,75,,Chapada Diamantina,RPGA do Rio Paraguaçu,200.5
Ruy Barbosa - EBDA,-12.284657,-40.501107,117,0,27,10,5,22,24,0,13,0,37,,Chapada Diamantina,RPGA do Rio Paraguaçu,218
Utinga - EBDA,-12.08465,-41.101122,311,0,0,50,0,0,0,0,0,0,100,,Chapada Diamantina,RPGA do Rio Paraguaçu,361
Barra da Estiva - EBDA,-13.63468,-41.334467,161.7,15.3,4.9,84.9,57.1,70.5,,,,,,,Chapada Diamantina,RPGA do Rio de Contas,394.41
Baixa Grande - EBDA,-11.951317,-40.167762,30,0,0,,,,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,30
Mairi - EBDA,-11.717981,-40.151095,65,0,0,,,,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,65
Morro do Chapéu - EBDA,-11.551305,-41.151119,,0,8,,,,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,8
Mundo Novo - EBDA,-11.851314,-40.46777,96.6,19.4,0,,,,,,,,,,Chapada Diamantina,RPGA do Rio Paraguaçu,116
Barra do Mendes - EBDA,-11.817975,-42.06781,132,0,16,70,2,0,0,0,0,15,84.5,,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,235
Cafarnaum - EBDA,-11.684641,-41.484462,177.7,0,0,40,0,0,0,0,0,15,91.5,,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,232.7
Canarana - EBDA,-11.684641,-41.751137,171.3,0,3,43,2,0,0,0,0,5.6,81.7,,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,224.9
Andaraí - EBDA,-12.801332,-41.317795,79,0,0,2,0,0,15,0,0,0,0,,Chapada Diamantina,RPGA do Rio Paraguaçu,96
Iraquara - EBDA,-12.234651,-41.617801,148.8,0,0,46.1,0,0,0,0,0,36,21,,Chapada Diamantina,RPGA do Rio Paraguaçu,230.9
Mucugê - EBDA,-13.001335,-41.367798,142.7,0,159.4,123.1,3.3,0,4.4,0,0,0,0,,Chapada Diamantina,RPGA do Rio Paraguaçu,432.91
Piatã - EBDA,-13.201338,-41.751143,103.5,46.6,0,121.6,0,31.6,32.8,0,20.1,0,45.6,,Chapada Diamantina,RPGA do Rio de Contas,356.21
Seabra - EBDA,-12.417987,-41.767806,113.2,0,0,60.5,0,11,14.7,4,6,22,76.5,,Chapada Diamantina,RPGA do Rio Paraguaçu,231.4
Livramento do Brumado - EBDA,-13.651344,-41.834479,69.1,0.8,0.3,102.8,26.2,0,0,0,0,84.3,16.4,,Chapada Diamantina,RPGA do Rio de Contas,283.5
Lençóis - A425,-12.557854,-41.388808,253.8,,,53.2,47.2,71.8,50.6,67.4,36,12.6,80.6,222.6,Chapada Diamantina,RPGA do Rio Paraguaçu,592.6
Iacú (Lagoa Bonita) - PG-PR-15,-12.931506,-40.226468,132.75,13,6,24,3.5,13.75,9.75,14.5,6,2.5,35.25,208.75,Chapada Diamantina,RPGA do Rio Paraguaçu,225.75
Iaçu (João Amaro) - PG-PR-16,-12.800391,-40.363139,123.5,3.25,11.5,16.75,2.75,24,15.5,16,14,5.75,31.75,168,Chapada Diamantina,RPGA do Rio Paraguaçu,233
Boa Vista Tupim - PG-PR-17,-12.65622,-40.589813,66,0,0,14.25,7.25,3.75,19.5,20.5,10,1,41.75,226.25,Chapada Diamantina,RPGA do Rio Paraguaçu,142.25
