Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/02,Fev/02,Mar/02,Abr/02,Mai/02,Jun/02,Jul/02,Ago/02,Set/02,Out/02,Nov/02,Dez/02,Região,Rpga,Total
Itajuípe - EBDA,-14.668043,-39.367753,392.6,209.6,115.2,171.8,72,120.6,140.4,238.2,127.4,68.4,138.2,202.7,Sul,RPGA do Leste,1656.21
Valença - EBDA,-13.368019,-39.06774,,,,,,,,229,228.5,57.5,,,Recôncavo,RPGA do Recôncavo Sul,515
Ituberá - EBDA,-13.734692,-39.13441,295.4,67.8,127,130.6,62.4,30.6,63.8,195.4,67.8,20,28.2,38.9,Recôncavo,RPGA do Recôncavo Sul,1060.8
Uruçuca - EBDA,-14.601377,-39.284419,423.7,182,167.6,136.8,74,157.5,127.4,181.8,191.6,56,53,263,Sul,RPGA do Leste,1698.4
Camamu - EBDA,-13.951362,-39.117744,328.8,142.6,108,158.6,133.2,116.9,189.6,180.1,164.4,20.8,85.8,,Sul,RPGA do Recôncavo Sul,1543
Ubaitaba - EBDA,-14.318037,-39.31775,297.7,179.8,101.2,102.5,73,120.6,62.7,178.6,100.5,39.2,51.1,137.8,Sul,RPGA do Rio de Contas,1255.81
Una - EBDA,-15.301389,-39.084416,329.7,182.8,191.2,132.7,98.5,125.1,232.2,175.5,158.9,57.2,155.3,193.5,Sul,RPGA do Leste,1683.81
Santo Amaro - EBDA,-12.551335,-38.701059,307.8,87,115.5,20.6,239.5,185.6,94.8,170.7,168,16.8,69.5,0,Recôncavo,RPGA do Recôncavo Norte,1406.3
Aramari - EBDA,-12.08466,-38.501053,0,92.9,0,50.2,122.4,124.2,118.5,167.7,61.8,8.1,24.9,26.4,Recôncavo,RPGA do Recôncavo Norte,745.8
Salvador (Ondina) - 83229,-13.005278,-38.505833,252.4,102.8,98.7,69.3,351.6,209.2,254.8,162.8,258.8,16,25.2,22.7,Recôncavo,RPGA do Recôncavo Norte,1776.4
Ilhéus (CPLAC) - LE-CL-01,-14.80184,-39.181444,335.3,35.7,156.9,162.75,87.25,113.05,105.5,162.75,126.5,52.75,108,181,Sul,RPGA do Leste,1338.45
